game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,away_season_type,away_games,away_completions,away_attempts,away_passing_yards,away_passing_tds,away_passing_interceptions,away_sacks_suffered,away_sack_yards_lost,away_sack_fumbles,away_sack_fumbles_lost,away_passing_air_yards,away_passing_yards_after_catch,away_passing_first_downs,away_passing_epa,away_passing_cpoe,away_passing_2pt_conversions,away_carries,away_rushing_yards,away_rushing_tds,away_rushing_fumbles,away_rushing_fumbles_lost,away_rushing_first_downs,away_rushing_epa,away_rushing_2pt_conversions,away_receptions,away_targets,away_receiving_yards,away_receiving_tds,away_receiving_fumbles,away_receiving_fumbles_lost,away_receiving_air_yards,away_receiving_yards_after_catch,away_receiving_first_downs,away_receiving_epa,away_receiving_2pt_conversions,away_special_teams_tds,away_def_tackles_solo,away_def_tackles_with_assist,away_def_tackle_assists,away_def_tackles_for_loss,away_def_tackles_for_loss_yards,away_def_fumbles_forced,away_def_sacks,away_def_sack_yards,away_def_qb_hits,away_def_interceptions,away_def_interception_yards,away_def_pass_defended,away_def_tds,away_def_fumbles,away_def_safeties,away_misc_yards,away_fumble_recovery_own,away_fumble_recovery_yards_own,away_fumble_recovery_opp,away_fumble_recovery_yards_opp,away_fumble_recovery_tds,away_penalties,away_penalty_yards,away_timeouts,away_punt_returns,away_punt_return_yards,away_kickoff_returns,away_kickoff_return_yards,away_fg_made,away_fg_att,away_fg_missed,away_fg_blocked,away_fg_long,away_fg_pct,away_fg_made_0_19,away_fg_made_20_29,away_fg_made_30_39,away_fg_made_40_49,away_fg_made_50_59,away_fg_made_60_,away_fg_missed_0_19,away_fg_missed_20_29,away_fg_missed_30_39,away_fg_missed_40_49,away_fg_missed_50_59,away_fg_missed_60_,away_fg_made_list,away_fg_missed_list,away_fg_blocked_list,away_fg_made_distance,away_fg_missed_distance,away_fg_blocked_distance,away_pat_made,away_pat_att,away_pat_missed,away_pat_blocked,away_pat_pct,away_gwfg_made,away_gwfg_att,away_gwfg_missed,away_gwfg_blocked,away_gwfg_distance_list,home_season_type,home_games,home_completions,home_attempts,home_passing_yards,home_passing_tds,home_passing_interceptions,home_sacks_suffered,home_sack_yards_lost,home_sack_fumbles,home_sack_fumbles_lost,home_passing_air_yards,home_passing_yards_after_catch,home_passing_first_downs,home_passing_epa,home_passing_cpoe,home_passing_2pt_conversions,home_carries,home_rushing_yards,home_rushing_tds,home_rushing_fumbles,home_rushing_fumbles_lost,home_rushing_first_downs,home_rushing_epa,home_rushing_2pt_conversions,home_receptions,home_targets,home_receiving_yards,home_receiving_tds,home_receiving_fumbles,home_receiving_fumbles_lost,home_receiving_air_yards,home_receiving_yards_after_catch,home_receiving_first_downs,home_receiving_epa,home_receiving_2pt_conversions,home_special_teams_tds,home_def_tackles_solo,home_def_tackles_with_assist,home_def_tackle_assists,home_def_tackles_for_loss,home_def_tackles_for_loss_yards,home_def_fumbles_forced,home_def_sacks,home_def_sack_yards,home_def_qb_hits,home_def_interceptions,home_def_interception_yards,home_def_pass_defended,home_def_tds,home_def_fumbles,home_def_safeties,home_misc_yards,home_fumble_recovery_own,home_fumble_recovery_yards_own,home_fumble_recovery_opp,home_fumble_recovery_yards_opp,home_fumble_recovery_tds,home_penalties,home_penalty_yards,home_timeouts,home_punt_returns,home_punt_return_yards,home_kickoff_returns,home_kickoff_return_yards,home_fg_made,home_fg_att,home_fg_missed,home_fg_blocked,home_fg_long,home_fg_pct,home_fg_made_0_19,home_fg_made_20_29,home_fg_made_30_39,home_fg_made_40_49,home_fg_made_50_59,home_fg_made_60_,home_fg_missed_0_19,home_fg_missed_20_29,home_fg_missed_30_39,home_fg_missed_40_49,home_fg_missed_50_59,home_fg_missed_60_,home_fg_made_list,home_fg_missed_list,home_fg_blocked_list,home_fg_made_distance,home_fg_missed_distance,home_fg_blocked_distance,home_pat_made,home_pat_att,home_pat_missed,home_pat_blocked,home_pat_pct,home_gwfg_made,home_gwfg_att,home_gwfg_missed,home_gwfg_blocked,home_gwfg_distance_list
2021_01_DAL_TB,2021,REG,1,2021-09-09,Thursday,20:20,DAL,29.0,TB,31.0,Home,2.0,60.0,0.0,2021090900,58503.0,10160000-0585-0395-7f87-0c3334b38e2e,202109090tam,19608.0,401326322,5594.0,7,7,351.0,-425.0,10.0,-121.0,110.0,52.5,-108.0,-103.0,0,outdoors,grass ,82.0,9.0,00-0033077,00-0019596,Dak Prescott,Tom Brady,Mike McCarthy,Bruce Arians,Shawn Hochuli,TAM00,Raymond James Stadium,REG,17,444,647,4963,40,11,33,-163,6,4,5116,2264,248,121.315080225337,2.11425076006347,2,473,2119,15,8,4,121,-22.218052031812,4,444,637,4963,40,4,0,5116,2264,248,190.002725524244,2,3,624,63,333,61,307,13,41,297,114,26,405,83,5,3,0,5,15,19,8,8,1,127,1103,60,28,185,29,719,29,35,6,0,56,0.828571428571429,0,5,15,7,2,0,0,0,1,2,2,1,35;21;48;34;56;37;31;38;31;30;45;49;38;39;33;30;48;29;45;55;34;35;38;37;29;26;42;27;48,31;60;51;43;59;43,,1088,287,0,47,53,6,0,0.886792452830189,1,1,0,0,56,REG,17,492,731,5383,43,12,23,-154,3,2,5894,2573,274,144.296417370402,1.5622488238625,0,385,1672,18,3,3,108,-2.42803353401737,1,492,716,5383,43,4,2,5894,2573,274,186.246382976684,0,0,676,60,316,73,315,16,47,285,127,17,177,85,2,1,0,0,3,4,12,12,0,97,874,65,35,250,30,592,25,31,6,0,48,0.806451612903226,0,11,7,7,0,0,0,0,1,3,1,1,36;26;29;44;27;48;42;22;25;31;25;40;30;25;31;23;24;36;43;21;48;39;27;39;40,55;36;60;43;45;46,,821,285,0,56,59,3,0,0.949152542372881,1,1,0,0,36
2021_01_PHI_ATL,2021,REG,1,2021-09-12,Sunday,13:00,PHI,32.0,ATL,6.0,Home,-26.0,38.0,0.0,2021091200,58504.0,10160000-0585-0480-6b01-c3eef69858d5,202109120atl,19609.0,401326315,5600.0,7,7,161.0,-180.0,3.5,-109.0,-101.0,49.0,-108.0,-103.0,0,open,fieldturf,,,00-0036389,00-0026143,Jalen Hurts,Matt Ryan,Nick Sirianni,Arthur Smith,Scott Novak,ATL97,Mercedes-Benz Stadium,REG,17,307,494,3585,20,10,31,-181,6,1,4230,1729,168,31.4751280043068,0.427552026051748,3,550,2715,25,6,4,172,43.0000130858342,2,307,468,3585,20,2,1,4230,1729,168,103.462349638312,3,0,607,65,507,62,287,13,29,220,83,12,142,56,2,1,0,8,12,17,4,4,3,107,842,55,33,239,34,630,30,33,2,1,58,0.909090909090909,0,7,10,10,3,0,0,0,0,2,0,0,43;45;29;25;31;30;58;43;26;41;24;30;52;23;50;37;33;47;31;32;43;46;20;37;22;37;42;41;38;40,46;41,47,1096,87,47,44,44,0,0,1.0,0,0,0,0,,REG,17,377,573,3987,20,15,40,-274,5,3,4143,1732,198,-16.8142185199305,0.792096452838042,0,393,1451,11,9,3,83,-65.0230200825727,1,377,554,3987,20,7,5,4143,1732,198,55.5319448593675,0,0,637,91,481,44,174,14,17,148,59,12,202,77,2,1,1,0,11,16,8,8,0,92,753,56,23,189,46,999,27,29,2,0,54,0.931034482758621,0,8,9,6,4,0,0,0,0,1,1,0,21;27;36;40;25;31;52;33;36;36;46;53;32;29;35;21;32;38;48;48;22;53;48;28;24;48;54,45;50,,996,95,0,30,30,0,0,1.0,3,3,0,0,40;36;29
2021_01_PIT_BUF,2021,REG,1,2021-09-12,Sunday,13:00,PIT,23.0,BUF,16.0,Home,-7.0,39.0,0.0,2021091201,58505.0,10160000-0585-05c2-6453-a2e392056a4d,202109120buf,19610.0,401326308,5598.0,7,7,232.0,-267.0,6.5,-110.0,-100.0,48.0,-114.0,103.0,0,outdoors,a_turf,73.0,17.0,00-0022924,00-0034857,Ben Roethlisberger,Josh Allen,Mike Tomlin,Sean McDermott,John Hussey,BUF00,New Era Field,REG,17,425,664,4017,23,11,38,-239,9,5,4439,2054,204,-57.0784177419781,-2.75054564656744,2,411,1583,10,0,0,91,-20.1560334616192,0,425,653,4017,23,4,3,4439,2054,204,11.8545590011164,2,1,674,116,406,85,375,18,55,321,106,13,105,80,0,3,0,9,10,11,9,9,0,106,831,70,40,370,38,849,36,40,4,0,56,0.9,0,9,8,11,8,0,0,0,1,2,1,0,24;20;45;56;26;52;48;43;27;52;37;31;54;52;40;20;23;51;36;36;45;40;53;43;36;28;46;48;34;22;30;50;48;28;40;36,42;49;56;36,,1400,183,0,27,29,2,0,0.931034482758621,2,2,0,0,37;36,REG,17,415,655,4450,36,16,27,-166,3,1,5355,1751,242,78.0708057536865,2.03343724075518,2,461,2209,20,8,3,140,30.4179243373543,1,415,623,4450,36,8,1,5355,1752,242,130.573445724783,2,0,580,120,318,71,329,12,41,267,91,19,238,80,1,3,0,0,11,13,11,11,0,113,980,70,37,316,33,790,28,32,4,0,57,0.875,0,15,7,4,2,0,0,0,1,1,2,0,37;25;42;21;48;29;33;26;21;28;30;24;28;52;57;39;24;41;29;34;35;21;25;26;25;34;41;21,53;57;49;33,,896,192,0,51,51,0,0,1.0,0,0,0,0,
2021_01_NYJ_CAR,2021,REG,1,2021-09-12,Sunday,13:00,NYJ,14.0,CAR,19.0,Home,5.0,33.0,0.0,2021091202,58506.0,10160000-0585-06c9-4855-c84e9f187c74,202109120car,19611.0,401326309,5599.0,7,7,164.0,-184.0,3.5,-108.0,-102.0,44.5,-107.0,-104.0,0,outdoors,grass ,81.0,0.0,00-0037013,00-0034869,Zach Wilson,Sam Darnold,Robert Saleh,Matt Rhule,Clay Martin,CAR00,Bank of America Stadium,REG,17,357,603,3959,20,20,53,-418,5,2,4349,2002,195,-75.238309143902,-6.61754828465786,2,380,1667,14,1,1,89,-10.905855076979,2,357,581,3959,20,6,4,4349,2002,195,30.0832884709149,2,1,654,114,448,55,287,13,31,245,88,7,114,61,1,0,0,0,6,6,7,7,0,103,860,56,17,206,50,1371,21,27,6,0,51,0.777777777777778,0,7,8,5,1,0,0,0,0,3,3,0,21;35;27;22;31;49;24;24;33;48;35;31;37;36;46;36;27;42;20;51;49,53;48;54;55;40;42,,724,292,0,23,27,3,1,0.851851851851852,0,0,0,0,,REG,17,348,599,3573,14,21,52,-334,5,2,4417,1833,174,-132.207838964928,-7.13677812069135,3,455,1842,17,10,5,129,-18.5670056360625,0,348,575,3573,14,1,1,4417,1831,174,-29.8840244878769,3,1,614,78,404,69,317,14,39,293,94,9,103,52,0,0,1,4,12,18,7,7,0,107,864,70,24,213,28,620,26,29,2,1,57,0.896551724137931,0,10,3,10,3,0,0,0,0,1,1,0,22;29;20;42;21;48;43;50;47;23;45;29;51;57;23;39;49;44;48;49;27;41;24;29;32;35,54;47,50,967,101,50,26,28,2,0,0.928571428571429,0,0,0,0,
2021_01_MIN_CIN,2021,REG,1,2021-09-12,Sunday,13:00,MIN,24.0,CIN,27.0,Home,3.0,51.0,1.0,2021091203,58507.0,10160000-0585-078e-e7ac-a2f205f45b71,202109120cin,19612.0,401326316,5603.0,7,7,-135.0,122.0,-3.0,109.0,-120.0,47.0,102.0,-114.0,0,outdoors,fieldturf,81.0,15.0,00-0029604,00-0036442,Kirk Cousins,Joe Burrow,Mike Zimmer,Zac Taylor,Adrian Hill,CIN00,Paul Brown Stadium,REG,17,398,604,4450,34,7,30,-212,10,2,4842,1944,203,57.376755653998,0.865619822975689,0,449,1930,10,6,3,109,-41.3155667431662,1,398,578,4450,34,3,1,4842,1944,203,130.167997820186,0,2,657,107,443,55,350,13,51,378,101,16,256,68,2,2,0,0,13,15,8,8,0,111,1043,72,26,206,32,849,33,38,5,0,55,0.868421052631579,0,8,11,7,7,0,0,0,1,2,2,0,53;52;52;43;34;20;38;38;55;54;25;25;38;45;40;24;36;46;30;51;29;41;31;31;38;42;25;37;23;24;44;51;39,37;49;50;47;53,,1254,236,0,36,40,4,0,0.9,2,3,1,0,37;54;29,REG,17,384,555,4806,36,14,55,-403,5,2,4397,2421,208,91.2513717798685,5.17986882340025,1,436,1742,16,2,1,100,-36.115492522612,0,384,540,4806,36,5,2,4397,2421,208,184.845185320685,1,0,642,77,411,73,277,17,41,265,99,13,266,63,1,6,0,0,9,11,8,8,1,72,620,84,36,261,33,662,29,34,5,0,58,0.852941176470588,0,5,9,6,9,0,0,0,0,3,2,0,53;33;53;43;35;38;40;52;30;21;27;54;53;51;47;31;51;48;37;28;41;53;58;26;30;36;46;20;36,43;57;49;46;50,,1171,245,0,47,49,2,0,0.959183673469388,3,3,0,0,33;35;20
2021_01_SF_DET,2021,REG,1,2021-09-12,Sunday,13:00,SF,41.0,DET,33.0,Home,-8.0,74.0,0.0,2021091204,58508.0,10160000-0585-08b2-196f-5fa85a77a226,202109120det,19613.0,401326317,5601.0,7,7,-415.0,344.0,-9.5,-105.0,-105.0,46.0,-103.0,-108.0,0,dome,fieldturf,,,00-0031345,00-0033106,Jimmy Garoppolo,Jared Goff,Kyle Shanahan,Dan Campbell,Brad Rogers,DET00,Ford Field,REG,17,343,514,4437,26,14,33,-216,4,2,4003,2254,200,105.883521624001,1.75097350563323,1,499,2166,22,5,1,137,-1.90878134982476,1,343,497,4437,26,9,4,4003,2254,200,154.927241087561,1,0,634,71,411,83,393,22,48,364,103,9,136,55,2,1,0,0,11,16,11,11,0,102,1066,65,34,279,34,642,27,32,5,0,56,0.84375,0,7,6,9,5,0,0,0,0,4,1,0,40;52;46;47;34;56;48;52;22;32;26;50;20;48;45;46;22;50;33;24;30;48;37;27;36;42;24,52;41;48;42;47,,1037,230,0,42,46,4,0,0.91304347826087,1,1,0,0,24,REG,17,396,593,3884,23,14,36,-286,7,4,3783,2091,194,-20.9576686794161,-0.0008972137109566,5,427,1886,12,6,4,107,-38.1162811281006,0,396,565,3884,23,2,1,3783,2091,194,66.889789439301,5,0,640,94,430,51,240,10,30,201,63,11,108,68,0,1,0,0,7,9,8,8,0,105,824,77,22,236,36,880,26,30,4,0,52,0.866666666666667,0,4,11,10,1,0,0,0,0,2,2,0,49;43;35;39;52;40;35;37;47;41;31;20;43;31;41;49;36;37;47;45;26;37;26;34;36;27,51;47;48;55,,984,201,0,27,28,1,0,0.964285714285714,0,0,0,0,
2021_01_JAX_HOU,2021,REG,1,2021-09-12,Sunday,13:00,JAX,21.0,HOU,37.0,Home,16.0,58.0,0.0,2021091205,58509.0,10160000-0585-0955-6419-0435c7f11d5d,202109120htx,19614.0,401326310,5602.0,7,7,-172.0,154.0,-3.5,103.0,-113.0,45.5,-107.0,-104.0,1,closed,astroturf,,,00-0036971,00-0028118,Trevor Lawrence,Tyrod Taylor,Urban Meyer,David Culley,Land Clark,HOU00,NRG Stadium,REG,17,361,604,3674,12,17,32,-238,6,5,4765,1640,179,-58.9188052293356,-4.64888932774448,2,392,1755,13,6,4,95,-23.6640717010475,0,361,583,3674,12,5,2,4765,1640,179,11.3537170777739,2,2,647,80,426,55,268,9,32,236,83,7,57,50,0,2,0,109,6,6,2,2,1,104,856,76,19,159,36,799,21,27,6,0,56,0.777777777777778,0,7,7,3,4,0,0,0,0,2,4,0,40;54;53;39;55;21;56;30;22;34;22;38;35;21;45;40;29;22;20;39;31,55;52;48;53;42;51,,746,301,0,18,22,4,0,0.818181818181818,1,1,0,0,53,REG,17,354,546,3630,21,15,44,-325,4,1,3997,1723,163,-60.4117431382149,-1.25254744781362,1,420,1422,8,5,1,84,-66.4583768755554,1,354,523,3630,21,5,4,3997,1723,163,16.2576027859076,1,1,644,119,437,67,273,16,32,225,70,17,295,64,1,2,1,0,9,11,8,8,0,114,978,69,26,188,43,1006,21,27,5,1,61,0.777777777777778,0,7,5,3,5,1,0,0,0,2,3,0,40;26;25;53;33;31;53;31;40;20;43;24;37;21;61;52;51;25;51;25;31,56;45;55;52;45,41,773,253,41,25,29,4,0,0.862068965517241,0,0,0,0,
2021_01_SEA_IND,2021,REG,1,2021-09-12,Sunday,13:00,SEA,28.0,IND,16.0,Home,-12.0,44.0,0.0,2021091206,58510.0,10160000-0585-10d0-bbae-7ced514d73f5,202109120clt,19615.0,401326318,5596.0,7,7,-146.0,132.0,-3.0,106.0,-117.0,49.0,-105.0,-106.0,0,closed,fieldturf,,,00-0029263,00-0032950,Russell Wilson,Carson Wentz,Pete Carroll,Frank Reich,Tony Corrente,IND00,Lucas Oil Stadium,REG,17,324,495,3815,30,7,46,-383,5,2,4619,1743,166,15.3752910917024,3.81059259616375,1,413,2074,18,4,1,108,16.3488477555795,0,324,474,3815,30,6,3,4619,1743,166,101.100144534331,1,1,671,160,504,52,250,9,33,250,92,11,92,80,0,3,1,41,10,12,7,7,0,97,803,74,23,192,38,894,17,23,6,0,53,0.739130434782609,0,2,9,3,3,0,0,0,2,2,2,0,31;53;32;40;43;50;31;27;27;38;38;39;36;51;36;42;38,44;35;44;53;56;39,,652,271,0,44,47,3,0,0.936170212765957,0,0,0,0,,REG,17,324,521,3588,27,8,32,-227,4,4,4000,1657,168,9.95618692255742,-2.34519568869318,2,499,2540,22,7,3,159,39.3389003872594,0,324,502,3588,27,5,1,4000,1647,168,101.190457036135,2,2,632,134,336,55,236,18,33,223,86,19,175,69,0,4,1,12,9,10,14,15,1,76,688,68,23,170,33,808,29,35,5,1,48,0.828571428571429,0,7,9,13,0,0,0,0,1,2,2,0,21;48;46;35;43;28;24;34;43;37;43;41;42;34;39;24;29;37;36;35;45;23;25;41;41;37;46;41;41,51;47;35;49;53,37,1059,235,37,46,47,1,0,0.978723404255319,0,0,0,0,
2021_01_ARI_TEN,2021,REG,1,2021-09-12,Sunday,13:00,ARI,38.0,TEN,13.0,Home,-25.0,51.0,0.0,2021091207,58511.0,10160000-0585-1194-5bd6-3e939eca6530,202109120oti,19616.0,401326311,5597.0,7,7,131.0,-146.0,2.5,105.0,-116.0,54.0,-103.0,-108.0,0,outdoors,grass ,82.0,8.0,00-0035228,00-0029701,Kyler Murray,Ryan Tannehill,Kliff Kingsbury,Mike Vrabel,Jerome Boger,NAS00,Nissan Stadium,REG,17,415,591,4619,27,11,39,-343,3,1,4425,2267,215,80.312594602204,4.06595731252115,0,496,2076,23,15,1,143,-8.97632961056641,0,415,570,4619,27,2,1,4425,2267,215,161.752035994309,0,0,623,80,358,64,259,21,40,227,101,13,247,73,1,2,0,0,23,33,14,14,1,114,990,66,26,238,29,611,30,37,7,0,62,0.810810810810811,0,11,9,3,6,1,0,0,2,2,1,2,34;62;27;34;23;55;23;21;36;51;33;31;26;47;53;33;25;53;53;49;29;29;28;24;53;26;38;41;30;36,43;68;61;39;36;51;41,,1103,339,0,47,49,2,0,0.959183673469388,0,0,0,0,,REG,17,359,535,3745,22,14,47,-327,6,3,4005,1780,194,28.5065172943259,2.44605879788199,1,551,2404,23,9,4,140,0.896956972786741,1,359,522,3745,22,4,3,4005,1780,194,111.076651324653,1,0,601,104,350,62,335,13,42,309,93,16,128,83,2,3,0,0,14,18,6,6,2,103,973,61,30,293,40,778,26,32,6,0,51,0.8125,0,5,12,8,1,0,0,0,0,6,0,0,33;30;24;36;32;44;46;36;34;43;38;34;51;46;44;28;36;36;44;29;26;32;38;44;23;44,46;44;49;44;47;42,,951,272,0,43,47,4,0,0.914893617021277,3,3,0,0,36;44;44
2021_01_LAC_WAS,2021,REG,1,2021-09-12,Sunday,13:00,LAC,20.0,WAS,16.0,Home,-4.0,36.0,0.0,2021091208,58512.0,10160000-0585-1250-d8b5-dc096164eee6,202109120was,19617.0,401326312,5595.0,7,7,117.0,-129.0,2.5,-109.0,-101.0,45.5,-115.0,103.0,0,outdoors,grass ,81.0,4.0,00-0036355,00-0023682,Justin Herbert,Ryan Fitzpatrick,Brandon Staley,Ron Rivera,Alex Kemp,WAS00,FedExField,REG,17,443,674,5014,38,15,31,-214,1,1,5082,2403,257,119.3480874767,-0.782457794513617,6,423,1834,18,3,2,113,-15.4683615168387,1,443,659,5014,38,5,3,5082,2403,257,166.346041519207,6,1,641,101,427,55,221,19,35,231,89,11,70,56,0,1,0,0,1,1,10,10,1,116,1033,58,18,107,39,976,24,27,3,0,50,0.888888888888889,1,8,6,8,1,0,0,0,0,1,2,0,33;27;46;32;29;24;48;30;29;46;24;30;41;43;43;27;28;39;50;46;35;19;23;41,44;52;51,,833,147,0,40,47,7,0,0.851063829787234,1,1,0,0,29,REG,17,356,550,3746,21,15,43,-305,7,3,4120,1896,181,-35.989729638706,-0.0087463928295794,0,477,2061,13,10,3,134,-14.7950056247856,2,356,534,3746,21,4,3,4120,1896,181,37.7691357590722,0,1,612,85,417,54,220,9,37,180,104,11,120,61,2,1,0,0,15,18,7,7,0,82,743,63,16,134,36,904,28,33,2,3,55,0.848484848484848,0,10,5,10,3,0,0,0,0,1,1,0,30;43;48;49;37;43;21;45;23;24;50;43;45;52;46;28;29;36;29;23;48;22;31;39;55;23;43;23,51;42,42;45;47,1028,93,134,25,29,2,2,0.862068965517241,2,2,0,0,43;48
