season,week,home_team,away_team,home_score,away_score,game_id,gameday
2016,1,DEN,CAR,21.0,20.0,2016_01_CAR_DEN,2016-09-08
2016,1,ATL,TB,24.0,31.0,2016_01_TB_ATL,2016-09-11
2016,1,BAL,BUF,13.0,7.0,2016_01_BUF_BAL,2016-09-11
2016,1,HOU,CHI,23.0,14.0,2016_01_CHI_HOU,2016-09-11
2016,1,JAX,GB,23.0,27.0,2016_01_GB_JAX,2016-09-11
2016,1,KC,SD,33.0,27.0,2016_01_SD_KC,2016-09-11
2016,1,NO,OAK,34.0,35.0,2016_01_OAK_NO,2016-09-11
2016,1,NYJ,CIN,22.0,23.0,2016_01_CIN_NYJ,2016-09-11
2016,1,PHI,CLE,29.0,10.0,2016_01_CLE_PHI,2016-09-11
2016,1,TEN,MIN,16.0,25.0,2016_01_MIN_TEN,2016-09-11
2016,1,SEA,MIA,12.0,10.0,2016_01_MIA_SEA,2016-09-11
2016,1,DAL,NYG,19.0,20.0,2016_01_NYG_DAL,2016-09-11
2016,1,IND,DET,35.0,39.0,2016_01_DET_IND,2016-09-11
2016,1,ARI,NE,21.0,23.0,2016_01_NE_ARI,2016-09-11
2016,1,WAS,PIT,16.0,38.0,2016_01_PIT_WAS,2016-09-12
2016,1,SF,LA,28.0,0.0,2016_01_LA_SF,2016-09-12
2016,2,BUF,NYJ,31.0,37.0,2016_02_NYJ_BUF,2016-09-15
2016,2,ARI,TB,40.0,7.0,2016_02_TB_ARI,2016-09-18
2016,2,CAR,SF,46.0,27.0,2016_02_SF_CAR,2016-09-18
2016,2,CLE,BAL,20.0,25.0,2016_02_BAL_CLE,2016-09-18
2016,2,DET,TEN,15.0,16.0,2016_02_TEN_DET,2016-09-18
2016,2,HOU,KC,19.0,12.0,2016_02_KC_HOU,2016-09-18
2016,2,NE,MIA,31.0,24.0,2016_02_MIA_NE,2016-09-18
2016,2,NYG,NO,16.0,13.0,2016_02_NO_NYG,2016-09-18
2016,2,PIT,CIN,24.0,16.0,2016_02_CIN_PIT,2016-09-18
2016,2,WAS,DAL,23.0,27.0,2016_02_DAL_WAS,2016-09-18
2016,2,LA,SEA,9.0,3.0,2016_02_SEA_LA,2016-09-18
2016,2,DEN,IND,34.0,20.0,2016_02_IND_DEN,2016-09-18
2016,2,OAK,ATL,28.0,35.0,2016_02_ATL_OAK,2016-09-18
2016,2,SD,JAX,38.0,14.0,2016_02_JAX_SD,2016-09-18
2016,2,MIN,GB,17.0,14.0,2016_02_GB_MIN,2016-09-18
2016,2,CHI,PHI,14.0,29.0,2016_02_PHI_CHI,2016-09-19
2016,3,NE,HOU,27.0,0.0,2016_03_HOU_NE,2016-09-22
