season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2017,1,ARI,REG,DET,27,48,268,1,3,1,-5,0,0,451,119,15,-10.9967784725128,-6.26274404373575,0,18,45,1,1,1,4,-8.37306893849745,0,27,47,268,1,1,0,451,119,15,-8.0412968934512,0,0,54,0,12,5,15,0,1,7,4,1,82,6,1,0,0,0,1,1,0,0,0,6,55,3,1,0,2,46,1,2,1,0,24.0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,24,32,,24,32,0,2,2,0,0,1.0,0,0,0,0,0
2017,1,ATL,REG,CHI,21,30,321,1,0,2,-13,0,0,216,158,12,13.5157245434347,5.75921729207039,0,23,64,1,0,0,4,-0.931581436049973,0,21,30,321,1,0,0,216,158,12,16.5348613776259,0,0,49,0,10,6,43,1,4,37,10,0,0,4,0,0,0,0,0,0,0,0,0,8,73,2,2,24,1,11,3,3,0,0,48.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,48;28;37,,,113,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,1,BAL,REG,CIN,9,17,121,1,1,1,-10,0,0,89,90,5,-0.336168905821061,-9.84865532201879,0,42,157,1,0,0,9,-4.01284774090163,0,9,17,121,1,0,0,89,90,5,1.60537920835578,0,0,41,0,14,7,31,1,5,26,6,4,69,8,0,1,0,0,1,1,1,1,0,11,85,6,3,23,0,0,2,2,0,0,25.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,25;25,,,50,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,1,BUF,REG,NYJ,16,28,224,2,1,2,-6,0,0,193,140,11,4.10571728280047,-5.43581291481301,0,42,190,1,0,0,10,0.0817749717759133,0,16,27,224,2,0,0,193,140,11,6.78492473083315,0,0,30,12,18,2,12,0,1,11,5,2,12,6,0,0,0,0,0,0,0,0,0,6,50,1,4,35,1,23,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,46,,0,46,0,3,3,0,0,1.0,0,0,0,0,0
2017,1,CAR,REG,SF,14,25,171,2,1,0,0,0,0,217,85,8,3.07375707023495,-4.25537470728159,0,38,116,0,2,1,10,-6.2420909850685,0,14,24,171,2,0,0,217,85,8,2.67651186113427,0,0,42,1,7,3,20,1,4,27,9,1,23,3,0,0,0,0,1,2,1,1,0,5,40,4,3,7,0,0,3,3,0,0,39.0,1.0,0,1,2,0,0,0,0,0,0,0,0,0,39;36;20,,,95,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,1,CHI,REG,ATL,26,40,213,1,0,4,-37,0,0,173,104,11,-6.95935636130345,-0.905182883143425,0,19,125,1,0,0,6,7.85430330067175,0,26,40,213,1,0,0,173,104,11,1.85765175800771,0,0,38,0,12,4,15,0,2,13,6,0,0,4,0,0,0,0,2,2,0,0,0,4,40,3,3,45,3,70,1,1,0,0,54.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,54,,,54,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,1,CIN,REG,BAL,16,31,170,0,4,5,-26,1,1,237,111,8,-29.3641997606901,-10.8683332287032,0,22,77,0,0,0,4,-0.969360011338722,0,16,29,170,0,0,0,237,111,8,-15.5938255955989,0,0,42,0,32,3,12,0,1,10,3,1,0,4,0,0,0,0,0,0,0,0,0,9,66,3,3,14,1,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2017,1,CLE,REG,PIT,20,30,222,1,1,7,-42,0,0,351,94,12,-2.49219939025352,5.50092334548632,0,25,57,1,0,0,4,-6.27937184104394,1,20,30,222,1,0,0,351,94,12,4.15650630026357,0,0,31,0,20,1,8,1,1,8,1,1,30,6,0,1,0,0,1,1,0,0,0,4,61,4,3,34,1,14,1,1,0,0,24.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,24,,,24,0,0,1,1,0,0,1.0,0,0,0,0,0
2017,1,DAL,REG,NYG,24,39,268,1,0,1,-5,0,0,297,134,12,6.06987413954772,-2.1651968752083,0,31,129,0,0,0,9,-0.354793262395813,0,24,38,268,1,0,0,297,134,12,7.25830988186235,0,0,38,0,16,4,19,1,3,22,5,1,0,1,0,0,0,0,0,0,0,0,0,5,50,3,1,0,2,42,4,4,0,0,48.0,1.0,0,1,1,2,0,0,0,0,0,0,0,0,21;48;42;36,,,147,0,0,1,1,0,0,1.0,0,0,0,0,0
2017,1,DEN,REG,LAC,17,28,219,2,1,4,-38,0,0,207,74,14,5.64891007791466,0.538216105529239,0,36,140,1,1,1,7,-6.170849684102,0,17,28,219,2,0,0,207,74,14,10.7143179691032,0,0,34,3,15,5,13,0,1,7,6,1,0,3,0,0,0,0,0,0,0,0,0,3,62,2,3,48,1,36,1,2,1,0,20.0,0.5,0,1,0,0,0,0,0,0,0,0,1,0,20,50,,20,50,0,3,3,0,0,1.0,0,0,0,0,0
