season,week,home_team,away_team,total_line,Predicted_Total,Actual_Total,Edge,Recommendation,Result
2024,1,KC,BAL,46.0,45.554436,47.0,-0.44556427001953125,UNDER,LOSS
2024,1,PHI,GB,49.5,46.70645,63.0,-2.793548583984375,UNDER,LOSS
2024,1,ATL,PIT,43.0,42.944725,28.0,-0.05527496337890625,UNDER,WIN
2024,1,BUF,ARI,46.0,44.452847,62.0,-1.5471534729003906,UNDER,LOSS
2024,1,CHI,TEN,43.0,43.252567,41.0,0.2525672912597656,OVER,LOSS
2024,1,CIN,NE,40.5,45.129894,26.0,4.629894256591797,OVER,LOSS
2024,1,IND,HOU,49.0,48.41718,56.0,-0.5828208923339844,UNDER,LOSS
2024,1,MIA,JAX,49.5,47.651638,37.0,-1.8483619689941406,UNDER,WIN
2024,1,NO,CAR,41.5,45.070705,57.0,3.5707054138183594,OVER,WIN
2024,1,NYG,MIN,42.5,41.915195,34.0,-0.5848045349121094,UNDER,WIN
2024,1,LAC,LV,41.0,42.814754,32.0,1.8147544860839844,OVER,LOSS
2024,1,SEA,DEN,42.0,43.845505,46.0,1.8455047607421875,OVER,WIN
2024,1,CLE,DAL,42.0,41.548206,50.0,-0.4517936706542969,UNDER,LOSS
2024,1,TB,WAS,42.0,44.69601,57.0,2.6960105895996094,OVER,WIN
2024,1,DET,LA,54.0,52.638092,46.0,-1.361907958984375,UNDER,WIN
2024,1,SF,NYJ,43.0,43.976643,51.0,0.9766426086425781,OVER,WIN
2024,2,MIA,BUF,48.5,46.69523,41.0,-1.8047714233398438,UNDER,WIN
2024,2,BAL,LV,41.0,43.901173,49.0,2.901172637939453,OVER,WIN
2024,2,CAR,LAC,39.0,39.72397,29.0,0.723968505859375,OVER,LOSS
2024,2,DAL,NO,47.0,47.473747,63.0,0.47374725341796875,OVER,WIN
2024,2,DET,TB,51.5,52.561764,36.0,1.0617637634277344,OVER,LOSS
2024,2,GB,IND,41.5,43.112133,26.0,1.6121330261230469,OVER,LOSS
2024,2,JAX,CLE,41.5,41.454967,31.0,-0.045032501220703125,UNDER,WIN
