season,week,team,vam_lost
2021,1,ARI,14.0
2021,1,BAL,2.0
2021,1,BUF,0.0
2021,1,CAR,0.0
2021,1,CHI,0.0
2021,1,CIN,0.0
2021,1,CLE,0.0
2021,1,DET,0.0
2021,1,GB,2.0
2021,1,HOU,145.9881439601105
2021,1,IND,8.904668471921468
2021,1,JAX,2.0
2021,1,KC,0.0
2021,1,LA,0.0
2021,1,LAC,0.0
2021,1,LV,0.0
2021,1,MIN,0.0
2021,1,NE,4.224504264362622
2021,1,NO,27.298756374316664
2021,1,NYG,0.0
2021,1,NYJ,0.0
2021,1,PHI,3.0
2021,1,SF,9.0
2021,1,TB,12.0
2021,1,TEN,2.0
2021,2,ARI,6.0
2021,2,ATL,0.0
2021,2,BAL,2.0
2021,2,CHI,0.0
2021,2,CIN,6.0
2021,2,CLE,7.7942789328723805
2021,2,DAL,0.0
2021,2,DEN,2.0
2021,2,DET,2.0
2021,2,GB,2.439675151952542
2021,2,HOU,145.9881439601105
2021,2,IND,6.0
2021,2,JAX,2.0
2021,2,LAC,6.0
2021,2,LV,26.67118485161685
2021,2,MIA,57.343443566609544
2021,2,MIN,15.0
2021,2,NE,16.0
2021,2,NO,9.0
2021,2,NYG,2.0
2021,2,NYJ,0.0
2021,2,PHI,3.0
2021,2,PIT,0.0
2021,2,SEA,0.0
2021,2,SF,5.0
2021,2,TEN,0.0
2021,3,ARI,0.0
2021,3,ATL,42.374743681196236
2021,3,BAL,2.0
2021,3,CAR,7.0
2021,3,CHI,6.0
2021,3,CIN,53.89017741098463
2021,3,CLE,5.0
2021,3,DAL,25.0
2021,3,DET,11.0
2021,3,GB,0.0
2021,3,HOU,165.07408369142118
2021,3,IND,0.0
2021,3,KC,12.0
2021,3,LAC,6.0
2021,3,LV,0.0
2021,3,MIA,0.0
2021,3,MIN,3.0
2021,3,NO,0.0
2021,3,NYG,2.0
2021,3,NYJ,29.073998513699728
2021,3,PHI,5.0
2021,3,PIT,25.815010928816818
2021,3,SEA,0.0
2021,3,SF,2.0
2021,3,TB,37.59321778779005
2021,3,TEN,20.8572718869718
2021,4,ARI,0.0
2021,4,ATL,33.374743681196236
2021,4,BAL,2.0
2021,4,BUF,14.0
2021,4,CAR,19.8453469344307
2021,4,CHI,6.0
2021,4,CIN,67.89017741098462
2021,4,CLE,0.0
2021,4,DAL,25.0
2021,4,DEN,2.0
2021,4,DET,8.0
2021,4,GB,30.392704781552283
2021,4,HOU,165.6686032851159
2021,4,IND,17.0
2021,4,JAX,0.0
2021,4,KC,3.0
2021,4,LAC,2.0
2021,4,MIA,0.0
2021,4,MIN,0.0
2021,4,NE,0.0
2021,4,NO,0.0
2021,4,NYG,45.58171578017307
2021,4,NYJ,14.0
2021,4,PHI,2.0
2021,4,PIT,0.0
2021,4,SEA,0.0
2021,4,SF,11.0
2021,4,TB,26.1138981264545
2021,4,TEN,139.0016037104011
2021,4,WAS,0.0
2021,5,ARI,4.0
2021,5,ATL,82.6792691661449
2021,5,BAL,0.0
2021,5,CAR,16.8453469344307
2021,5,CHI,7.0
2021,5,CIN,0.0
2021,5,CLE,0.0
2021,5,DAL,21.0
2021,5,DEN,7.51571922980377
2021,5,GB,7.0
2021,5,HOU,150.91973443797716
2021,5,IND,10.0
2021,5,JAX,0.0
2021,5,LAC,2.4739378989180603
2021,5,LV,6.832860550726764
2021,5,MIN,0.0
2021,5,NE,0.0
2021,5,NO,0.0
2021,5,NYG,55.58171578017307
2021,5,NYJ,22.547316091771492
2021,5,PHI,0.0
2021,5,PIT,17.91602764633717
2021,5,SEA,0.0
2021,5,SF,70.23210057346336
2021,5,TB,38.1138981264545
2021,5,TEN,62.428660383585
2021,5,WAS,19.704782313242514
2021,6,ARI,2.0
2021,6,BAL,21.11323698706966
2021,6,CAR,18.8453469344307
2021,6,CHI,0.0
2021,6,CIN,0.0
2021,6,CLE,28.805537989363053
2021,6,DAL,2.0
2021,6,DEN,0.0
2021,6,GB,2.0
2021,6,HOU,145.9881439601105
2021,6,IND,4.0
2021,6,JAX,7.0
2021,6,KC,23.25678091932787
2021,6,LAC,0.0
2021,6,LV,2.0
2021,6,MIA,50.370443866528504
2021,6,MIN,0.0
2021,6,NE,0.0
2021,6,NYG,21.6624569899484
2021,6,PHI,0.0
2021,6,PIT,25.0348402479748
2021,6,SEA,83.92981798643271
2021,6,TB,48.1138981264545
2021,6,TEN,5.0
2021,6,WAS,53.98122745272738
2021,7,ARI,8.28681058493396
2021,7,ATL,8.0
2021,7,BAL,28.34418223660837
2021,7,CAR,4.0
2021,7,CHI,6.0
2021,7,CLE,105.36757316374855
2021,7,DEN,0.0
2021,7,GB,0.0
2021,7,HOU,148.9881439601105
2021,7,IND,15.0
2021,7,KC,3.8789537221891797
2021,7,LV,0.0
2021,7,NE,8.0
2021,7,NO,31.623768405422613
2021,7,NYG,23.6624569899484
2021,7,NYJ,8.54731609177149
2021,7,SF,7.0
2021,7,TB,61.84582455949949
2021,7,TEN,0.0
2021,7,WAS,53.98122745272738
2021,8,ARI,17.0
2021,8,BUF,0.0
2021,8,CAR,2.0
2021,8,CHI,27.0
2021,8,CIN,0.0
2021,8,CLE,27.9681591077098
2021,8,DEN,2.0
2021,8,GB,0.0
2021,8,HOU,145.9881439601105
2021,8,IND,0.0
2021,8,JAX,0.0
2021,8,KC,0.0
2021,8,LA,12.153133704036033
2021,8,MIA,10.21111054054578
2021,8,MIN,0.0
2021,8,NE,0.0
2021,8,NO,17.078183239108952
2021,8,NYG,25.6624569899484
2021,8,NYJ,59.9720708228851
2021,8,PHI,0.0
2021,8,PIT,5.63092249764468
2021,8,SEA,2.0
2021,8,SF,15.0
2021,8,TB,23.731926433044986
2021,8,TEN,58.1378983876117
2021,8,WAS,34.27644513948487
2021,9,ARI,19.20048037706874
2021,9,ATL,47.30452548494868
2021,9,BAL,7.23094524953871
2021,9,BUF,0.0
2021,9,CHI,33.0
2021,9,CLE,7.7942789328723805
2021,9,DAL,0.915660924627446
2021,9,DEN,0.0
2021,9,GB,10.0
2021,9,HOU,173.90921782682761
2021,9,IND,41.483317407048304
2021,9,KC,0.0
2021,9,LA,4.0
2021,9,LAC,11.47393789891806
2021,9,MIN,0.0
2021,9,NO,14.0
2021,9,NYG,32.27540609048472
2021,9,NYJ,59.9720708228851
2021,9,PHI,0.0
2021,9,PIT,2.63092249764468
2021,9,SF,5.0
2021,9,TEN,3.03088498301804
2021,10,ARI,4.5705333876742795
2021,10,ATL,12.0
2021,10,BAL,7.23094524953871
2021,10,BUF,4.0
2021,10,CAR,0.0
2021,10,CLE,2.0
2021,10,DAL,0.0
2021,10,DEN,1.90331952483393
2021,10,DET,7.21984802854082
2021,10,GB,13.95898980763741
2021,10,IND,6.0
2021,10,KC,0.0
2021,10,LA,13.24723146307021
2021,10,LAC,11.47393789891806
2021,10,LV,7.0
2021,10,MIN,0.0
2021,10,NE,11.0
2021,10,NO,22.18852579667217
2021,10,NYJ,0.0
2021,10,PIT,43.901552863908535
2021,10,SEA,8.0
2021,10,SF,27.71568114039552
2021,10,TB,46.84582455949949
2021,10,TEN,5.0
2021,10,WAS,59.27644513948487
2021,11,ARI,57.956274551362824
2021,11,ATL,16.6490260439732
2021,11,BAL,16.527551754531302
2021,11,CHI,41.290854531966204
2021,11,CLE,11.0
2021,11,DET,27.81929333492394
2021,11,GB,65.87567332271993
2021,11,HOU,152.9881439601105
2021,11,JAX,0.0
2021,11,KC,0.0
2021,11,LAC,0.0
2021,11,LV,13.484248585179172
2021,11,MIN,0.0
2021,11,NO,19.18852579667217
2021,11,NYG,43.27540609048472
2021,11,NYJ,0.0
2021,11,PHI,0.0
2021,11,PIT,43.0
2021,11,SF,1.0
2021,11,TB,27.731926433044986
2021,11,TEN,27.2518372736813
2021,11,WAS,0.0
2021,12,ATL,2.0
2021,12,BAL,10.5275517545313
2021,12,CAR,0.0
2021,12,CHI,41.290854531966204
2021,12,CIN,2.48476124969689
2021,12,CLE,0.0
2021,12,DEN,4.90331952483393
2021,12,DET,8.0
2021,12,GB,10.070179065724744
2021,12,HOU,151.9881439601105
2021,12,JAX,9.0
2021,12,LAC,0.0
2021,12,LV,7.0
2021,12,MIA,6.72609393423772
2021,12,MIN,12.0
2021,12,NO,22.18852579667217
2021,12,NYG,44.104213221835764
2021,12,NYJ,0.0
2021,12,PHI,0.0
2021,12,PIT,2.63092249764468
2021,12,SEA,0.0
2021,12,SF,1.0
2021,12,TB,23.731926433044986
2021,12,TEN,68.5729433268161
2021,12,WAS,0.0
2021,13,ARI,0.0
2021,13,ATL,0.0
2021,13,BAL,10.5275517545313
2021,13,CHI,49.290854531966204
2021,13,CIN,4.48476124969689
2021,13,DAL,3.1764977134298498
2021,13,DEN,0.0
2021,13,DET,11.27707910432256
2021,13,HOU,170.07408369142118
2021,13,JAX,9.0
2021,13,KC,3.0
2021,13,LA,0.0
2021,13,LAC,0.0
2021,13,LV,65.38783374727001
2021,13,MIA,6.72609393423772
2021,13,MIN,14.05830698988114
2021,13,NO,5.0
2021,13,NYG,37.379171680019034
2021,13,NYJ,3.0
2021,13,PHI,0.0
2021,13,PIT,6.0
2021,13,SEA,0.0
2021,13,SF,21.50498663954978
2021,13,TB,12.0
2021,13,WAS,9.0
2021,14,ARI,6.0
2021,14,BAL,10.5275517545313
2021,14,BUF,0.0
2021,14,CAR,0.0
2021,14,CHI,2.0
2021,14,CIN,8.0
2021,14,CLE,0.0
2021,14,DET,8.171620762166482
2021,14,GB,23.456130331348756
2021,14,HOU,145.9881439601105
