season,week,team,full_name,report_status
2025,1,NYJ,Kris Boyd,Injured Reserve
2025,1,NYJ,Bump Cooper,Injured Reserve
2025,1,NYJ,Byron Cowart,Injured Reserve
2025,1,NYJ,Gus Hartwig,Injured Reserve
2025,1,NYJ,Chukwuma Okorafor,Questionable
2025,1,NYJ,Esa Pole,Out
2025,1,NYJ,Alijah Vera-Tucker,Out
2025,1,NYJ,Rashad Weaver,Injured Reserve
2025,1,NYJ,Ja'Markis Weston,Injured Reserve
2025,2,NYJ,Kris Boyd,Injured Reserve
2025,2,NYJ,Michael Carter II,Questionable
2025,2,NYJ,Byron Cowart,Injured Reserve
2025,2,NYJ,Gus Hartwig,Injured Reserve
2025,2,NYJ,Kene Nwangwu,Out
2025,2,NYJ,Josh Reynolds,Out
2025,2,NYJ,Mason Taylor,Questionable
2025,2,NYJ,Jay Tufele,Out
2025,2,NYJ,Alijah Vera-Tucker,Injured Reserve
2025,2,NYJ,Ja'Markis Weston,Injured Reserve
2025,3,NYJ,Tony Adams,Out
2025,3,NYJ,Kris Boyd,Injured Reserve
2025,3,NYJ,Michael Carter II,Questionable
2025,3,NYJ,Byron Cowart,Injured Reserve
2025,3,NYJ,Justin Fields,Out
2025,3,NYJ,Gus Hartwig,Injured Reserve
2025,3,NYJ,Jermaine Johnson II,Out
2025,3,NYJ,Marcelino McCrary-Ball,Questionable
2025,3,NYJ,Kene Nwangwu,Out
2025,3,NYJ,Josh Reynolds,Out
2025,3,NYJ,Jay Tufele,Out
2025,3,NYJ,Alijah Vera-Tucker,Injured Reserve
2025,3,NYJ,Ja'Markis Weston,Injured Reserve
2025,4,NYJ,Kris Boyd,Injured Reserve
2025,4,NYJ,Jarvis Brownlee,Out
2025,4,NYJ,Byron Cowart,Injured Reserve
2025,4,NYJ,Gus Hartwig,Injured Reserve
2025,4,NYJ,Jermaine Johnson II,Out
2025,4,NYJ,Marcelino McCrary-Ball,Injured Reserve
