Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Jamal Agnew,,O,O,,,,,,,,Q,,
DeAundre Alford,,,,,,,,,,,O,,
Tyler Allgeier,,,,,,,,Q,,,,,
Grayland Arnold,IR,,,,,,,,,,,,
Jessie Bates III,,,,,,,,,Q,,,,
Matthew Bergeron,,,,,,,,,,O,O,Q,
Billy Bowman,,Q,,,,Q,O,O,O,,,O,IR
Natrone Brooks,,,,,,Q,,,,,,,
Nathan Carter,,,,O,,,,,,,,,
Divine Deablo,,,,,,,,O,IR,IR,IR,Q,
Brandon Dorlus,,,,,,,,,,,Q,,
Leonard Floyd,,,,,,,,,Q,O,O,Q,
Mike Ford,,,Q,,,,,,,,,,
Feleipe Franks,,,,,,,,,,,Q,,
Jordan Fuller,,O,IR,IR,,IR,O,Q,,,,,
Ta'Quon Graham,,,,,,O,Q,,,,,,
Jake Hanson,IR,,,,,,,,,,,,
Zach Harrison,,,,,,,,Q,O,,Q,O,IR
DeMarcco Hellams,O,Q,,,,,,,,,,,
KhaDarel Hodge,,,,O,,,,,,,,,
Mike Hughes,,,,,,,,,,Q,Q,,
Emory Jones,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Younghoe Koo,,O,,,,,,,,,,,
Chris Lindstrom,,,,,,,,,,,Q,Q,Q
Drake London,,,,,,,,,,,Q,O,O
LaCale London,,,,,,O,,,,,,,
DeAngelo Malone,,,,,,,,,,,IR,IR,IR
Jake Matthews,,,,,,,Q,,,,,,
Ray-Ray McCloud,,,,,,,O,,,,,,
Kaleb McGary,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Darnell Mooney,Q,,,,,O,Q,,,,,,
Jack Nelson,O,O,,,,,,,,,,,
Storm Norton,,,,,,,,O,O,O,IR,,
James Pearce,,Q,,,,,,,,,,,
Michael Penix,,,,,,,,Q,,,,IR,IR
Clark Phillips,,,,,,O,O,IR,IR,IR,IR,IR,IR
Sam Roberts,,,,,,,,,,,O,IR,IR
AJ Terrell,,,O,O,,,,,,,,,
Josh Thompson,IR,,,,,,,,,,,,
Bralen Trice,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Malik Verdon,,,,,,,,,,,O,Q,O
Jalon Walker,,,,,,,O,O,Q,,,,
Casey Washington,,O,O,,,,,,O,,,,
Tyrone Wheatley Jr.,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Josh Woods,,,,,,,,,,,O,O,O
