Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Tyler Bass,O,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR
Christian Benford,,,,,,,,,,Q,,,
Terrel Bernard,,,,,,,,Q,,,,,O
Spencer Brown,,,,Q,Q,,,,,,,,O
DeWayne Carter,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR
Te'Cory Couch,IR,IR,,,,,,,,,,,
Dion Dawkins,,,,,,,,,,,,,O
A.J. Epenesa,,,,Q,,,,,,O,,,
Darrynton Evans,IR,,,,,,,,,,,,
Tylan Grable,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,Q
Maxwell Hairston,IR,IR,IR,IR,IR,IR,,Q,,,,,
Damar Hamlin,,,,,,O,,IR,IR,IR,IR,IR,IR
Jordan Hancock,,Q,,,,,,,,,,,
Mecole Hardman,,,,,,,,,,,,O,IR
Michael Hoecht,,,,,,,,,,IR,IR,IR,IR
Justin Hollins,IR,,,,,,,,,,,,
Landon Jackson,,,,,,,,,,,IR,IR,IR
Taron Johnson,,Q,Q,,,,,,Q,Q,Q,,
Cameron Johnston,,,,,IR,IR,,IR,IR,IR,IR,IR,IR
DaQuan Jones,,,,,,,,O,O,Q,,,
Dalton Kincaid,,,,,,Q,,Q,,,O,O,Q
Cameron Lewis,,,Q,,,,,,,,Q,,
Phidarian Mathis,,,,,,,,,,,O,Q,
Matt Milano,,,O,O,Q,O,,Q,,,,,
Ed Oliver,,O,O,O,Q,,,,IR,IR,IR,IR,IR
Wande Owens,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR
Josh Palmer,,,,,,,,O,O,Q,,,Q
Kaden Prather,IR,,,,,,,,,,,,
Taylor Rapp,,,,,,,,O,IR,IR,IR,IR,IR
Curtis Samuel,,,,,,Q,,,,,,O,O
T.J. Sanders,,,,,Q,O,,IR,IR,IR,Q,,
Baylon Spector,IR,,,,,,,,,,,,
Dorian Strong,,,,,O,IR,,IR,IR,IR,IR,IR,IR
Shaq Thompson,,Q,Q,,,,,,O,O,Q,,
Jalen Virgil,IR,,,,,,,,,,,,
Tre'Davious White,D,Q,,,,,,,,,,,
Dorian Williams,,,,,O,,,,,,,,
