Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Popo Aumavae,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dalevon Campbell,,,,,IR,IR,,,,,,,
Claudin Cherelus,,,,,,,,,,,,,O
Brady Christensen,,,,,,,,,IR,IR,IR,IR,IR
Jalen Coker,IR,IR,IR,IR,IR,Q,Q,,,,,,
Austin Corbett,,,IR,IR,IR,IR,Q,,,,,,
Andy Dalton,,,,,,,,,Q,,,,
M.J. Devonshire,IR,,,,,,,,,,,,
Ikem Ekwonu,D,Q,,,,,,,,,,,
Akayleb Evans,,,,,,O,,,,,,,
Jaycee Horn,,,,,,,,,,,,,O
Chuba Hubbard,,,,Q,O,O,,,,,,,
Robert Hunt,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cam Jackson,,,,,Q,,,,,,,,
Michael Jackson,,,,,,Q,,,,,,,
Patrick Jones II,,,O,O,,,O,IR,IR,IR,IR,IR,IR
Xavier Legette,,,Q,O,,,,,,,,,
Damien Lewis,,,,,,,Q,,Q,,,,
Tyler Mabry,IR,,,,,,,,,,,,
Damarri Mathis,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cade Mays,,,,,,,,,O,,,O,O
Tetairoa McMillan,,,,Q,,,,,,Q,,,
David Moore,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Taylor Moton,,,,,,O,Q,,Q,,,,
Moose Muhammad,IR,,,,,,,,,,,,
Lathan Ransom,,,,,,,,,,,O,,
LaBryan Ray,,,,,Q,,,,,,,,
Christian Rozeboom,,,,,,,,,,,,O,O
Ja'Tavion Sanders,,,,O,O,Q,,,,,,,
Nick Scott,,,,,,,,,Q,,,,
Chau Smith-Wade,,,,,O,Q,,,,,,,
Corey Thornton,,,,,,,,,,,,,IR
Brycen Tremayne,,,,,,,,,,Q,,,
Princely Umanmielen,,,,,,,,,O,,,,
Trevin Wallace,,,,,,,,,Q,,O,O,
Tershawn Wharton,,O,O,Q,O,O,Q,,,,,,
D.J. Wonnum,,,,O,Q,,,,,,,,
Bryce Young,,,,,,,,D,,,,,
Chandler Zavala,,,,,IR,IR,IR,IR,Q,O,,,O
