Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Kiran Amegadjie,,,O,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Theo Benedet,,,,,,,,,,,,Q,
Josh Blackwell,Q,,,,,,,,,O,,,
Austin Booker,IR,IR,IR,IR,,O,Q,O,,,,,
Jaquan Brisker,,,,,,,,,,,Q,Q,
Luther Burden,,,,,,,,,O,,,,
Tremaine Edmunds,,,,,,,,,,,,O,IR
T.J. Edwards,D,,O,O,,,,,,O,O,O,O
Kyler Gordon,,O,O,Q,,,,O,IR,IR,IR,O,Q
Deion Hankins,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Travis Homer,,,,,,O,Q,,,,,O,
Ruben Hyppolite,,,,,,,,,,,,,O
D'Marco Jackson,,,Q,,,,,,,,,,
Grady Jarrett,,Q,,O,,O,Q,,,,,,
Jaylon Johnson,Q,,O,IR,,IR,IR,IR,IR,IR,O,O,Q
Roschon Johnson,Q,,,,,,,O,O,,,O,IR
Braxton Jones,,,,,,,,O,IR,IR,IR,IR,IR
Jaylon Jones,,,O,,,,,,,,,,
Cole Kmet,,,,,,,,O,,,,,
Colston Loveland,,,,Q,,Q,,,,,,,
Jordan Murray,IR,,,,,,,,,,,,
Luke Newman,,,,,,,,,,,,,O
Dayo Odeyingbo,,,,,,,,,,IR,IR,IR,IR
Amen Ogbongbemiga,,,,,,,Q,O,Q,,,,
Dominique Robinson,,,,,,,,,O,O,,,O
Cairo Santos,,,,,,Q,O,Q,,,,,
Noah Sewell,,,,,,,O,,,,,O,O
Terell Smith,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Durham Smythe,,,,,,,,,,Q,,,
Ameer Speed,IR,,,,,,,,,,,,
Tyrique Stevenson,,,,,,,,O,,,,,O
D'Andre Swift,,,Q,Q,,,Q,Q,O,Q,,,
Shemar Turner,,,,,,,,,IR,IR,IR,IR,IR
Shaun Wade,IR,,,,,,,,,,,,
Jahdae Walker,,D,,,,,,,,O,O,,
Darnell Wright,,,,O,,,,,,,,,
