Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Daijahn Anthony,,,,,,,,,,,,D,
Tahj Brooks,,,,,,,,,,,,,O
Oren Burks,,,,,,,,,Q,,,,
Joe Burrow,,,IR,IR,IR,IR,IR,IR,IR,,O,O,
Jermaine Burton,,,,,,,,,,,O,,O
Ja'Marr Chase,,,,,,Q,,,,,,,
Caleb Etienne,IR,,,,,,,,,,,,
Dylan Fairchild,,,,,,Q,,,,,,,
Noah Fant,,,,O,,,,,,,,,
Joe Flacco,,,,,,,,,Q,,,,
Mike Gesicki,,,,,,,IR,IR,IR,,IR,IR,
Trey Hendrickson,,,,,,,Q,Q,D,,O,O,O
Shaka Heyward,,,,,,,,,IR,,IR,IR,IR
Tee Higgins,,,,,,,,,,,,,O
Tanner Hudson,,,,,,,O,,,,,,
Cedric Johnson,,,,,,,,Q,,,,,
Charlie Jones,,,,,Q,,Q,,,,,,
Matt Lee,,,,,,Q,,D,IR,,IR,IR,IR
Tanner McLachlan,IR,,,,,,,,,,,,
Lucas Patrick,,IR,IR,IR,IR,Q,Q,,,,Q,,
Samaje Perine,,,,,,,,,,,O,D,
Dalton Risner,,,,,,,,Q,,,,,
Cameron Sample,,,,,,,,D,,,,O,Q
Shemar Stewart,,,O,O,O,D,,,,,IR,IR,IR
Cam Taylor-Britt,,,D,,,,,,,,,IR,IR
DJ Turner,,,Q,,,,,,,,,,
Cordell Volson,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Logan Wilson,,,,,,,,,D,,,,
Marco Wilson,,,,,,,,D,D,,,,IR
