Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Brenden Bates,,,,,,,,,,,,,O
Joel Bitonio,,,Q,,,,,,,,,,
Isaiah Bond,,,,,,,,,,O,,,
DeAndre Carter,,,,,IR,IR,IR,IR,,IR,IR,IR,IR
Maliek Collins,,,,,,,,,,,Q,,
Jack Conklin,,Q,Q,Q,Q,,Q,,,,,Q,
Martin Emerson,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Harold Fannin,,,,,,,,,,Q,,,
Jerome Ford,,,,,,,,,,,,,Q
Dillon Gabriel,,,,,,,,,,,,O,
Mason Graham,,,,,,,Q,,,,,,
Michael Hall,O,O,O,O,O,O,Q,,,,,,
Adin Huntington,,,,,,,,Q,,,,,O
Dawand Jones,,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Dom Jones,,,,,,,,,,,,IR,IR
Quinshon Judkins,,Q,,,,,,,,,,,
Anthony Kendall,IR,,,,,,,,,,,,
Gage Larvadain,,,,,,,Q,,,,,,
Cornelius Lucas,,,,,,,,,,O,,,
Cade McDonald,,IR,IR,IR,IR,IR,IR,IR,,,,,
Greg Newsome II,,,,,Q,,,,,,,,
David Njoku,,,,,,,O,Q,,,,,
Shedeur Sanders,,,,,,,,Q,,,,,
Carson Schwesinger,,,,,,,,,,Q,,,
Andre Szmyt,,,,,,,,,,,,,
Jamari Thrash,,,,,,,,,,,,O,
Cedric Tillman,,,,,IR,IR,IR,IR,,Q,,,
Joe Tryon-Shoyinka,,,,,,,Q,,,,,,
Nathaniel Watson,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Michael Woods II,IR,,,,,,,,,,,,
Alex Wright,,,,,,,,,,,O,O,O
