Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Salvon Ahmed,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Joe Bachie,,,,,,IR,IR,,,,,,
DeForest Buckner,,,,Q,,,,,,O,,IR,IR
Jaylon Carlies,,,,,,,,,,,,O,O
Josh Downs,,,,,,,O,,,,,,
Ashton Dulin,,,,,,,O,,,,,,IR
Samson Ebukam,,,,,,,,O,O,O,,,
Blake Freeland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Matt Goncalves,,,,O,,,,,,,,,
Tyler Goodson,Q,Q,,,O,O,O,,,,,,
Anthony Gould,,,,,,,,,O,O,,,
Jaylon Jones,,O,IR,IR,IR,IR,IR,O,Q,,,,
Laiatu Latu,,Q,,,,,,,,,,,
Tyquan Lewis,,,,,Q,,,Q,Q,O,,Q,
David Long,IR,,,,,,,,,,,,
D.J. Montgomery,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Kenny Moore,,,,O,O,O,Q,,,,,,
Jacob Phillips,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Alec Pierce,,,,O,O,,,,,,,,
Anthony Richardson,,,,,,,IR,IR,IR,IR,,IR,IR
Daniel Scott,,,,,O,IR,IR,IR,IR,IR,,IR,IR
Spencer Shrader,,,,,,IR,IR,IR,IR,IR,,IR,IR
Grover Stewart,,,,,,,,,Q,,,,
Justin Walley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Charvarius Ward,,O,,,,,O,IR,IR,IR,,Q,
Tyler Warren,,,,,,,,,,,,,Q
Jack Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Hunter Wohler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
