Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Kelvin Beachum,,,,Q,,,,,,,Q,Q,Q
Trey Benson,,,,,IR,IR,IR,,IR,IR,IR,O,O
Joey Blount,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Evan Brown,,,,Q,D,,,,,,,,
Baron Browning,,,,,,,,,,,O,O,
Denzel Burke,,,,,Q,,,,,,,,
L.J. Collier,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Hayden Conner,,,,,,,,,,,O,Q,Q
James Conner,,,,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Kitan Crawford,,,,,,,Q,,Q,Q,,,
Jaden Davis,IR,,,,,,,,,,,,
Akeem Davis-Gaither,,,,Q,,,,,,,,,
Emari Demercado,,,,,,,O,,,,,O,O
Greg Dortch,,,,,Q,,,,,,,,
Simi Fehoko,,,,,,,,,,,IR,IR,IR
Blake Gillikin,,Q,,,,Q,IR,,IR,IR,IR,IR,IR
Darren Hall,,,,Q,,,,,,,,,
Marvin Harrison Jr.,,,,,,,,,,,O,O,Q
Will Hernandez,O,Q,Q,Q,Q,,Q,,,Q,Q,Q,O
Trishton Jackson,IR,IR,IR,IR,,,,,,,,,
Paris Johnson,,,Q,Q,,,,,,,,,
Will Johnson,,,D,D,Q,,,,Q,O,O,Q,
Christian Jones,,,,,,,,,,,,,O
Justin Jones,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Zay Jones,,,,O,,Q,Q,,,,IR,IR,IR
Zonovan Knight,,,,,,,,,,,Q,,Q
Max Melton,,,Q,,Q,Q,,,,O,,,Q
Kyler Murray,,,,,,Q,Q,,Q,IR,IR,IR,IR
Bilal Nichols,,,,,Q,,,,,,,,
Walter Nolen,,,,,,,O,,Q,,Q,,O
BJ Ojulari,,,,,,,,,O,O,Q,,
Owen Pappoe,Q,,,,,,,,,,,,
Tip Reiman,,O,Q,,,IR,IR,,IR,IR,IR,IR,IR
Darius Robinson,,,,,O,O,Q,,,,Q,Q,
J.J. Russell,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Valentin Senn,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Cody Simon,,O,,,,Q,,,Q,,,,
Dante Stills,Q,,,,,,,,,,,,
Dadrion Taylor-Demerson,,,,,,,,,,,O,O,O
Starling Thomas,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Travis Vokolek,,,,,,,IR,,IR,IR,IR,IR,IR
Quez Watkins,IR,,,,,,,,,,,,
Xavier Weaver,,,,,,,,,,Q,,,
Garrett Williams,,,IR,IR,IR,IR,IR,,Q,,,Q,
Jonah Williams,,,,,,,,,,,O,Q,IR
Mack Wilson,,,,,,Q,,,,O,O,IR,IR
