Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Hakeem Adeniji,,,,,,,,,,,,Q,
Cooper Beebe,,,IR,IR,IR,IR,IR,O,Q,,,,
DaRon Bland,,O,O,,,Q,,,,,,,
Tyler Booker,,,,,O,O,,,,,,,
Parris Campbell,IR,,,,,,,,,,,,
Caelen Carson,IR,IR,IR,IR,Q,Q,,,,,,,Q
Alijah Clark,,,,,,,,,O,,Q,,
Jadeveon Clowney,,,,,,,,,,,,Q,
Ajani Cornelius,,,,,,Q,Q,Q,Q,,Q,IR,IR
Trevon Diggs,,,Q,,,Q,O,O,IR,,IR,IR,IR
Tyler Guyton,,,,,O,,,Q,,,,,O
Malik Hooker,,,,,O,IR,IR,IR,IR,,Q,,
Robert Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Trevor Keegan,,,,,,,O,IR,IR,,IR,IR,IR
Marshawn Kneeland,,,,,Q,Q,Q,Q,,,,,
CeeDee Lamb,,,,O,O,O,,,,,,,
Phil Mafah,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Jonathan Mingo,,,,,Q,Q,O,,,,,,
Kenneth Murray,,,,,Q,,,,,,,,
DeMarvion Overshown,,,,,,,,O,O,,,,
Shavon Revel,,,,,,,,O,O,,,,
Jack Sanborn,,,,,,O,,,O,,IR,IR,IR
Miles Sanders,,,,,Q,O,IR,IR,IR,,IR,IR,IR
Mazi Smith,,,,,,,Q,,,,,,
Tyler Smith,,,,,Q,Q,,,,,,,
John Stephens,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,
Juanyeh Thomas,,,,,,,Q,O,Q,,,,
Solomon Thomas,,,,,,,,,,,O,,
KaVontae Turpin,,,,,O,O,,,,,,,
Matt Waletzko,IR,,,,,,,,,,,,
Donovan Wilson,,,,,,,,O,O,,,,
Perrion Winfrey,O,IR,IR,IR,IR,IR,IR,IR,O,,Q,,
