Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Nate Adkins,O,O,,,,,,,O,O,O,,O
Michael Burton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
J.K. Dobbins,,,,,,,,,,,O,,IR
Jonah Elliss,,,,,,O,O,,,,O,,Q
Evan Engram,,,O,,,,,,,,,,
Nick Gargiulo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Dre Greenlaw,O,O,O,IR,IR,IR,Q,,,,,,
Matt Henningsen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Lucas Krull,,,,,O,IR,IR,IR,IR,IR,IR,,IR
P.J. Locke,,,,,,,,,O,Q,,,
Marvin Mims,,,,Q,,,,,O,O,,,
Matt Peart,,,,,,,IR,IR,IR,IR,IR,,IR
Ben Powers,,,,,,O,IR,IR,IR,IR,IR,,IR
Karene Reid,,,,,,,,,,,IR,,IR
Malcolm Roach,O,IR,IR,IR,IR,Q,,,,,,,
Alex Singleton,,,,,,,,,,,O,,
Patrick Surtain II,,,,,,,,,O,O,O,,
Johnny Walker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Garret Wallow,,,,,,,IR,IR,IR,IR,Q,,
