Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Terrion Arnold,,,,,,O,O,,,,O,O,Q
Dicaprio Bootle,IR,,,,,,,,,,,,
Brian Branch,,,,,,Q,,,,,,,
Jack Campbell,,,Q,,,,,,,,,,
Zach Cunningham,,,,O,O,O,,IR,,IR,IR,IR,IR
Marcus Davenport,,,O,IR,IR,IR,IR,IR,,IR,O,O,Q
Taylor Decker,,Q,Q,Q,Q,Q,Q,Q,,Q,Q,Q,Q
Khalil Dorsey,,,,,O,IR,IR,IR,,IR,IR,Q,
Miles Frazier,,,,,,,,,,O,O,O,Q
Graham Glasgow,,,,,,,,,,,,Q,O
Justin Herron,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,
Dan Jackson,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Jamarco Jones,O,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Kerby Joseph,,Q,Q,,Q,Q,O,O,,O,O,O,O
Sam LaPorta,,,,,,,,,,,O,IR,IR
Avonte Maddox,,,,,,Q,O,Q,,,,,
Christian Mahogany,,,,,,,,,,IR,IR,IR,IR
Giovanni Manu,,,,,,Q,IR,IR,,IR,IR,IR,IR
Alim McNeill,,,,,O,O,Q,,,,,,
Al-Quadin Muhammad,,,,Q,,,,,,,,,
Trevor Nowaske,O,O,,,,,,,,,,,
Pat O'Connor,,,,,,,,,,O,,,
Josh Paschal,,,,,,,,,,O,O,O,O
Ennis Rakestraw,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Tate Ratledge,,,,,,,,,,,,Q,Q
Kalif Raymond,,,,,,Q,,,,,,,O
D.J. Reader,,,,,,,Q,,,,,,
D.J. Reed,,,Q,,IR,IR,IR,IR,,IR,O,Q,
Craig Reynolds,,,,,,,,O,,Q,,,
Amik Robertson,,,,,,,,,,,Q,,
Kye Robichaux,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Malcolm Rodriguez,,,,,,,,O,,O,O,,
Jacob Saylors,,,,,,,,,,O,Q,,
Penei Sewell,,,,,,,,,,,Q,Q,Q
Dan Skipper,,,,,,,,,,Q,,,
Colby Sorsdal,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Grant Stuard,,,,,,,,,,Q,,,
Keaton Sutherland,IR,,,,,,,,,,,,
Isaac TeSlaa,,,,,,,,,,,Q,Q,Q
Daniel Thomas,,,,O,IR,IR,IR,Q,,Q,,,
Zeke Turner,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Sione Vaki,O,D,,O,O,O,O,Q,,,Q,Q,Q
Divaad Wilson,IR,,,,,,,,,,,,
Brock Wright,,,,,,,,,,,Q,,O
Kenny Yeboah,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,
Shane Zylstra,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
