Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Zayne Anderson,Q,Q,,,,,,,,,,,
Aaron Banks,,Q,,D,,Q,,,,,,,
Anthony Belton,,,,O,,O,Q,,,,,,
Warren Brinson,,,,,,,,Q,,,,,
Karl Brooks,,,,,,,,,,,,Q,O
Omar Brown,IR,,,,,,,,,,,,
Sam Brown,IR,,,,,,,,,,,,
Javon Bullard,,,,Q,,,,,,,,,
Brenton Cox,,O,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Isaiah Dunn,IR,,,,,,,,,,,,
Travis Glover,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Matthew Golden,,,,,,,,Q,,Q,Q,Q,Q
Nate Hobbs,Q,Q,,,,Q,Q,,,O,O,O,Q
Josh Jacobs,,,,,,,Q,,,,,Q,
Elgton Jenkins,,,,,,,,,,,IR,IR,IR
Tucker Kraft,,,,,,,,,,IR,IR,IR,IR
MarShawn Lloyd,IR,,,,,,,,,,,,
Jeremiah Martin,IR,,,,,,,,,,,,
Brandon McManus,,,,,,Q,Q,Q,Q,,D,,
Bo Melton,,O,,,,,,,,,,,
Jacob Monk,IR,,,,,Q,Q,,,,,,
Nick Niemann,,,,,,,,,O,IR,IR,IR,IR
Keisean Nixon,,,,,,,Q,,,,,,Q
Micah Parsons,Q,Q,,,,,,,,,,,
Keith Randolph,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Jayden Reed,Q,,O,IR,,IR,IR,IR,IR,IR,IR,O,O
Barryn Sorrell,Q,,,,,,,,,,,,
Zach Tom,,Q,Q,O,,Q,Q,,,Q,,,
Lukas Van Ness,,,,,,,O,O,O,O,Q,Q,O
Quay Walker,,,,,,,,,Q,,,D,Q
Rasheed Walker,,,,,,Q,,,,,,,
Christian Watson,,,,,,O,O,Q,,,,,
Jalen White,IR,,,,,,,,,,,,
Dontayvion Wicks,Q,,,,,,Q,O,O,Q,,Q,
Savion Williams,Q,,,,,,,,,Q,Q,Q,O
Devonte Wyatt,,,,,,O,O,Q,,,,,
