Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Jake Andrews,,O,,,,,,,,,,,
Damon Arnette,,,,,,,,,,,O,,
Denico Autry,,,,,O,,Q,Q,Q,,,,
Braxton Berrios,O,O,,,,,,,,,,,
Harrison Bryant,,,,,,,,,,Q,O,IR,IR
Ajani Carter,,,,,,,,,,,,,O
Nico Collins,,,,,,,,O,,,,,
Marlon Davidson,IR,,,,,,,,,,,,
Ka'imi Fairbairn,,,,,,,,,,O,O,,
Folorunso Fatukasi,,,,,O,,IR,IR,IR,IR,IR,IR,IR
Kyonte Hamilton,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Christian Harris,,,,,,,,,,O,,,
Jamal Hill,,,,,,,,,,,,O,O
Dylan Horton,,,,,,,,,Q,,,,
Tytus Howard,,,,,,,,,,O,,,
Alijah Huzzie,,,,,,,O,O,O,,,,
Ed Ingram,Q,,,,,,,,,O,Q,,
Jakob Johnson,,,,IR,IR,,IR,IR,Q,O,Q,,
Johnny Johnson,IR,,,,,,,,,,,,
Xavier Johnson,IR,,,,,,,,,,,,
Brevin Jordan,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Dalton Keene,IR,,,,,,,,,,,,
Christian Kirk,O,O,,,,,O,O,,,,,
Jalen Pitre,,,,,,,,,,O,O,O,
Jaylen Reed,,,,,O,,Q,,,,,,
Dalton Schultz,,,,,,,,,Q,,,,
Irv Smith Jr.,IR,IR,IR,IR,,,,,,,,,
Jaylin Smith,IR,,O,IR,IR,,IR,Q,,IR,IR,IR,IR
M.J. Stewart,,,,,,,,,,,IR,IR,IR
Derek Stingley Jr.,,,,Q,,,,,,,,,
Cade Stover,,IR,IR,IR,IR,,IR,IR,IR,IR,Q,,
C.J. Stroud,,,,,,,,,,O,O,O,
Darrell Taylor,,,,,,,,,,IR,IR,IR,IR
Justin Watson,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Juwann Winfree,IR,,,,,,,,,,,,
