Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Yasir Abdullah,,,,O,O,Q,,,,,,O,
Dyami Brown,,,,Q,,,,,,,,,
Montaric Brown,O,D,,,,,,,,,,,
Joshua Cephus,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Ezra Cleveland,,,Q,,,,,,,O,,,
Chuma Edoga,,,,,,,,,,,,,O
Robert Hainsey,,,,,,D,,,,,,,
Anton Harrison,,,,,,,,,,,O,O,
Cooper Hodges,IR,,,,,,,,,,,,
Travis Hunter,,,,,,,,,O,IR,IR,IR,IR
Jarrian Jones,,,,,,,,,,,,Q,
Jourdan Lewis,,,,,,,,,,O,O,Q,
Devin Lloyd,,,,,,,O,,Q,,,,
Hunter Long,,,,,,,,,,O,O,O,
Zech McPhearson,IR,,,,,,,,,,,,
Patrick Mekari,,,,,,,,,,,,,O
Wyatt Milum,O,O,O,O,Q,,,,,,,,
Quintin Morris,,,,,,,O,,O,,,,
Eric Murray,,,,,,,,,IR,IR,IR,IR,IR
Tim Patrick,,,,,,,,,O,,,,
Caleb Ransaw,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Brenton Strange,,,,,,IR,IR,,IR,IR,O,Q,
Brian Thomas,,,,,,,,,,O,Q,O,
Cole Van Lanen,Q,,,,,,,,,,,,
Travon Walker,,,,,Q,,,,,,,O,O
Levi Wallace,IR,,,,,,,,,,,,
