Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Cornell Armstrong,,,,,,IR,,,,,,,
Ethan Bonner,O,D,,Q,,,,,,,,,
Julius Brents,,,,,,,,,,,,,IR
Aaron Brewer,,,,,,Q,,,,,,,
Artie Burns,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Yodny Cajuste,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Elijah Campbell,,,,,,O,O,,,,,,
Bradley Chubb,,,,,,,,,Q,,Q,,
Jordan Colbert,,,,,,,,,,,,,IR
Jalin Conyers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
James Daniels,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Ashtyn Davis,,Q,,,,,,,D,Q,,,
Tyrel Dodson,,,,,,O,Q,,,,,,
Rasul Douglas,,,,,,,,,,D,Q,,Q
Storm Duck,,O,O,O,O,Q,Q,,IR,IR,IR,,IR
D'Wayne Eskridge,Q,,,,,,,,Q,O,Q,,
Obinna Eze,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Ollie Gordon,,,,,,,,,,Q,,,
Julian Hill,,,,,,,,O,O,Q,,,
Tyreek Hill,,,,,IR,IR,IR,IR,IR,IR,IR,,IR
Germain Ifedi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Austin Jackson,,O,IR,IR,IR,IR,IR,IR,IR,IR,O,,Q
Benito Jones,,O,Q,,,,,,,,,,Q
Kader Kohou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Jason Maitre,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Jason Marshall,,,,O,IR,IR,IR,Q,Q,,,,
Alexander Mattison,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Ifeatu Melifonwu,,,O,,,,,,Q,Q,,,
Chop Robinson,,,Q,,,,,,,D,,,
Jaylen Waddle,,,Q,,,,,,,,,,
Darren Waller,O,O,O,,,,,IR,IR,IR,IR,,Q
Cedrick Wilson Jr.,,,,,O,,,,,,,,
Jaylen Wright,O,D,,,,,,,,,,,
