Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Tyler Batty,,,,,Q,,Q,,,,,,
Blake Cashman,,IR,IR,IR,IR,,Q,,,,,,
Ty Chandler,,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Zeke Correll,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Christian Darrisaw,Q,O,Q,,,,,Q,Q,,,,Q
Jonathan Greenard,,,,,,,,,,,O,Q,Q
C.J. Ham,,,,,Q,,,O,O,,,,
Tyrion Ingram-Dawkins,,,,,,,Q,,,,,,
Donovan Jackson,,,,O,O,,,,,,,,O
Theo Jackson,,,,,,,,,,Q,,,Q
Aaron Jones,,,IR,IR,IR,,IR,Q,,Q,,,
Michael Jurgens,,,,,O,,Q,,,,,,
Ryan Kelly,,,O,,O,,IR,IR,IR,IR,O,Q,
Austin Keys,,Q,Q,,,,,,,,,,
J.J. McCarthy,,,O,O,O,,Q,Q,,,,,O
Josh Metellus,,,,,,,,,,,,,Q
Rondale Moore,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Matt Nelson,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Brian O'Neill,,,,,O,,Q,Q,Q,,,,
Jeff Okudah,,O,,,,,,,O,O,IR,IR,IR
Josh Oliver,,,,,,,,,O,O,,,
Jalen Redmond,,,,,,,,,,,,,Q
Zavier Scott,O,,,,,,,Q,,,,,
Justin Skule,,,O,,,,,,,,,,
Harrison Smith,D,Q,Q,,,,,,,,,,
Andrew Van Ginkel,,O,Q,O,O,,O,O,,,,,
Carson Wentz,,,,,,,,,IR,IR,IR,IR,IR
Alexander Williams,IR,IR,IR,IR,,,,,,,,,
Elijah Williams,O,,,,,,,,,,,,
Ben Yurosek,,,,O,Q,,,,,,,,
