Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Julian Blackmon,,O,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Bryan Bresee,,,,,,,,,,Q,,,
Vernon Broughton,,,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Will Clapp,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Taliese Fuaga,,Q,Q,,,,,,,O,,Q,
Taysom Hill,,,,,Q,,,,,,,,
Jordan Howden,Q,,,,,,,,,,,,
Juwan Johnson,,,,,Q,,,,,,,,
Alvin Kamara,,,,,,Q,,,Q,Q,,Q,O
Erik McCoy,,,,,,,,IR,IR,IR,,IR,IR
Bub Means,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Kendre Miller,,,,,,,,IR,IR,IR,,IR,IR
Foster Moreau,,,,,Q,,,,,,,,
Chris Olave,,,,,,,,,,,,,Q
Trey Palmer,,,Q,,O,IR,IR,IR,IR,IR,,IR,IR
Trevor Penning,O,O,Q,,Q,,,,,,,,
Mason Pline,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Ja'Lynn Polk,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Dillon Radunz,,,O,O,Q,,,,,,,,
John Ridgeway,,,,,O,O,Q,,,,,,
Cesar Ruiz,,,,,O,,,,,,,,
Nick Saldiveri,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Rashid Shaheed,,,,,,,,,Q,,,,
Jack Stoll,,,,,,,,,,Q,,,
Alontae Taylor,,,,,,,,,Q,,,,
Devaughn Vele,,,Q,Q,,,,,,,,,
Barry Wesley,,,,,,,,,,O,,Q,
Jonah Williams,,,,,,,,,,Q,,,
Isaac Yiadom,,,,,O,O,Q,,,,,,
Chase Young,O,O,O,O,O,,,,,,,,
Landon Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR
