Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Alex Austin,,,,,,,,,,,,,IR
Kayshon Boutte,,,,,,,,,,O,O,,
Garrett Bradbury,,,,,,,,,,,,,Q
Will Campbell,Q,,,,,,,,,,,,IR
K'Lavon Chaisson,,,,Q,O,,,,,,,,
Carlton Davis,,,,,Q,,,,,,,,
Marcellas Dial,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stefon Diggs,,,,,,,Q,,,,,,
Kyle Dugger,,,,,,,,Q,,,,,
Yasir Durant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Christian Elliss,,,,,,,,,,O,O,,
Joshua Farmer,,,,,,,,,,,Q,,
Antonio Gibson,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Christian Gonzalez,O,O,O,Q,,Q,,,,,,,
Jaylinn Hawkins,,,,,,O,Q,,,,,,
Austin Hooper,,,,,,,,,,,O,,
Isaiah Iton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anfernee Jennings,,,,,,O,,,,,,,
Terrell Jennings,,,,,,,,,,,Q,,
Brock Lampe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Harold Landry,,,,,,,Q,,,,,Q,Q
Lan Larison,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marte Mapu,,Q,,,,Q,,,,,,,
Morgan Moses,,Q,,,,,,,,,,,
Michael Onwenu,,,,Q,,,,,,,,,
Ja'Lynn Polk,IR,IR,,,,,,,,,,,
Deneric Prince,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Layden Robinson,,IR,IR,IR,IR,IR,,,,,,,
Jaquelin Roy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brenden Schooler,,,,,,,,,,,,,O
Rhamondre Stevenson,,,,,,,,,O,O,O,Q,
Jahlani Tavai,IR,IR,IR,IR,Q,,,,,,,O,
Khyiris Tonga,,,,,,,,,,,,,Q
Jack Westover,,,Q,,,,,,,,,,
Keion White,,O,Q,,,O,,,,,,,
Milton Williams,,,,,Q,,,,,,IR,IR,IR
Jared Wilson,,,,O,,,,,,,,,O
Charles Woods,O,,,,,Q,Q,,,,,,
