Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Paulson Adebo,,,,,,,,O,O,O,Q,O,
Deonte Banks,,,,,,,,,,,,Q,
Daniel Bellinger,,,,,,,,,D,,,,
Korie Black,,,,,,,,,,,,,Q
Chris Board,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Swayze Bozeman,,,,,,O,O,,,,,,Q
Brian Burns,,,,,,,,Q,,,,,
Abdul Carter,,,,,,,Q,,,,,,
Beaux Collins,,,,,,,,,,O,IR,IR,IR
Jaxson Dart,,,,,,,,,,,O,O,
D.J. Davidson,,,,,,,,Q,,,,,
Victor Dimukeje,,,,,,,Q,,,D,,,Q
Jermaine Eluemunor,,,,,,Q,,,D,Q,,,
Da'Quan Felton,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Thomas Fidone,,,,,,,,,,,,O,IR
Demetrius Flannigan-Fowles,,O,D,,O,O,O,,,,,,Q
Cordale Flott,,,,,,,,,O,,,,
Bryce Ford-Wheaton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Graham Gano,,,,O,IR,IR,IR,Q,,O,IR,IR,IR
Chauncey Golston,,,Q,O,,,D,O,O,O,O,,
Eric Gray,,,,,,,,,,,,Q,
Art Green,,,,,,,,,O,IR,IR,IR,IR
Jevon Holland,,,,,,,,D,Q,Q,,,
Dexter Lawrence,,,,,Q,,,,,,,,
Micah McFadden,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
TJ Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darius Muasau,,,O,,,,,,,O,IR,IR,IR
Malik Nabers,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Evan Neal,,,,,,,,,,,O,IR,IR
Tyler Nubin,,,,,Q,,,,,,D,Q,
Rakeem Nunez-Roches,,D,D,D,,,,,,,D,,
Bobby Okereke,,,,,,,,,,,Q,,
Gunner Olszewski,,,Q,,,,,,,,,,
Rico Payton,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,
Wan'Dale Robinson,,Q,,,,,,,,,,,
John Michael Schmitz,,,,,,,O,,,O,,,
Cam Skattebo,,,,,,,,,IR,IR,IR,IR,IR
Darius Slayton,,,,,,O,D,,,,O,,
Ty Summers,IR,,,,,,,,,,,,
Kayvon Thibodeaux,,,,,,,,,,,O,O,O
Andrew Thomas,D,D,Q,,,,,,,,,,
Tyrone Tracy Jr.,,,,O,D,,,,,,,,
