Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Tony Adams,,,O,,,,,,,,,,
Braelon Allen,,,,,IR,IR,IR,IR,,IR,IR,IR,IR
Kris Boyd,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Jarvis Brownlee,,,,O,,,,,,,,,Q
Michael Carter II,,Q,Q,,O,O,Q,,,,,,
Andre Cisco,,,,,,,,,,IR,IR,IR,IR
Bump Cooper,IR,,,,,,,,,,,,
Byron Cowart,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Justin Fields,,,O,,,,,,,,,,
Sauce Gardner,,,,,,,,O,,,,,
Breece Hall,,,,,,,,Q,,,,,
Gus Hartwig,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Khalil Herbert,,,,,,,,,,Q,Q,,
Jermaine Johnson II,,,O,O,Q,,,,,,,,
Cam Jones,,,,,,,D,O,,IR,IR,IR,IR
Allen Lazard,,,,,,O,,,,,,,
Francisco Mauigoa,,,,,,,,,,Q,,,
Marcelino McCrary-Ball,,,Q,IR,IR,IR,IR,IR,,IR,IR,Q,
Will McDonald,,,,,,,,,,,Q,Q,
Braiden McGregor,,,,,,,,,,,Q,,
Xavier Newman-Johnson,,,,,,,,,,Q,Q,,
Kene Nwangwu,,O,O,D,Q,,,O,,,,Q,
Chukwuma Okorafor,Q,,,,,,,,,,,,
Harrison Phillips,,,,,,,,,,,Q,Q,Q
Esa Pole,O,,,,,,,,,,,,
Josh Reynolds,,O,O,,,,,O,,IR,IR,IR,IR
Stone Smartt,,,,,,,,O,,,,,
Brandon Stephens,,,,,,Q,,,,,,,
Qwan'tez Stiggers,,,,,,,D,,,,,,
Mason Taylor,,Q,,,,,,Q,,,,,
Tyrod Taylor,,,,,,,,O,,,,,
Azareye'h Thomas,,,,,,,,,,,O,,
Jay Tufele,,O,O,,,,,O,,,,,
Alijah Vera-Tucker,O,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Rashad Weaver,IR,,,,,,,,,,,,
Ja'Markis Weston,IR,IR,IR,IR,IR,O,Q,,,,,,
Quincy Williams,,,,IR,IR,IR,IR,Q,,,,,
Garrett Wilson,,,,,,,D,O,,Q,O,IR,IR
