Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Jalyn Armour-Davis,,,,,,,,,,,,,O
Elic Ayomanor,,,,,,,,,,,,O,Q
Darrell Baker,,,,,,,,,,,,Q,
Chandler Brewer,IR,,,,,,,,,,,,
Kendell Brooks,,,,,,,,,,,,O,O
Mike Brown,,,,,O,IR,IR,IR,IR,,,,
Jarvis Brownlee,,,Q,,,,,,,,,,
Treylon Burks,IR,IR,IR,IR,IR,IR,,,,,,,
Lloyd Cushenberry III,,,,,,,,,,,,,O
Ali Gaye,,,,,,,,,IR,,IR,IR,IR
Blake Hance,,,,,O,O,O,O,IR,,IR,IR,IR
Marcus Harris,,,,,,O,Q,,,,,,
Johnny Hekker,,,,,,,Q,,,,,,
Van Jefferson,,,,,,Q,,,,,,,
Dre'Mont Jones,,,,,,,Q,,,,,,
Arden Key,,,,,,O,O,Q,O,,Q,,
JC Latham,,O,O,O,O,Q,,,,,,,
Corey Levin,,,,,,,,,,,,Q,
Will Levis,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
James Lynch,,,,,Q,,,,,,,,
Dorian Mausi,,,,Q,,,,,,,,,
Dan Moore,,,,,,,,,,,,,Q
Kalel Mullings,Q,D,Q,IR,IR,IR,IR,IR,IR,,O,Q,
Chigoziem Okonkwo,,,,,,,,,,,,,Q
Oluwafemi Oladejo,,,,,,,IR,IR,IR,,IR,IR,IR
Bryce Oliver,,,Q,O,O,O,O,O,Q,,O,IR,IR
Anfernee Orji,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
C.J. Ravenell,,,,,,,,,,,Q,,
Calvin Ridley,,,,,Q,,O,O,O,,Q,IR,IR
Jeffery Simmons,,,,,,,,O,O,,Q,,
Joey Slye,,,,,,O,,,,,,,
L'Jarius Sneed,Q,,Q,,,,,IR,IR,,IR,IR,IR
Tyjae Spears,IR,,,,,,,,,,,,
T'Vondre Sweat,,O,O,IR,IR,IR,Q,,,,,,
Shy Tuttle,,,,,,,,,,,,,O
Kevin Winston,D,D,D,D,Q,,,,,,,,
Xavier Woods,,,,,,,,Q,O,,O,O,Q
Kevin Zeitler,,,Q,,,,,,,,,,
