Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Jakorian Bennett,,,,IR,IR,IR,IR,O,,,,,
A.J. Brown,,,,,,,,O,,,,,
Grant Calcaterra,,,,,,O,O,,,,,,
Jalen Carter,,,,,,Q,Q,,,,,,
Lewis Cine,,IR,,,,,,,,,,,
Darius Cooper,,,,IR,IR,IR,IR,Q,,,,,
Nakobe Dean,,,,,O,Q,,,,,,,
Landon Dickerson,,,,,,O,,,,,,,
Marcus Epps,,,,,,,,,,IR,IR,IR,IR
Xavier Gipson,,,,,,,,,,,,,O
Dallas Goedert,,O,,,,,,,,,,,
Brandon Graham,,,,,,,,O,,,,,
Danny Gray,IR,,,,,,,,,,,,
Myles Hinton,,,,,,,,,,,,Q,O
Charley Hughlett,,,,,IR,IR,IR,IR,,IR,IR,IR,IR
Adoree' Jackson,,,,D,,,,O,,,,,
Lane Johnson,,,,,,,,,,,,O,O
Cam Jurgens,,,,,,,,O,,O,,Q,
Willie Lampkin,IR,IR,IR,IR,IR,IR,IR,IR,,IR,Q,Q,
Tanner McKee,O,Q,O,,,,,,,,,,
Andrew Mukuba,,,,,,,,,,,,,IR
Azeez Ojulari,,,,,,,,O,,IR,IR,IR,IR
Ogbonnia Okoronkwo,,,,,IR,IR,IR,IR,,IR,IR,IR,IR
Will Shipley,,O,O,,,,,,,,,,
Nolan Smith,,,,IR,IR,IR,IR,IR,,IR,,,
Marcus Tate,IR,,,,,,,,,,,,
Ben VanSumeren,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Cameron Williams,,O,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Johnny Wilson,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
