Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Calvin Austin III,,,,,,O,O,,,,,,
Chuck Clark,,,,,,,,,Q,,,,
Daniel Ekuale,,,,,,,,,IR,IR,IR,IR,IR
DeShon Elliott,,O,O,,,,Q,,IR,IR,IR,IR,IR
Zach Frazier,,,,,,,,Q,,,,,
Derrick Harmon,O,O,Q,,,,,,,,,,O
Devin Harper,IR,,,,,,,,,,,,
Malik Harrison,,IR,IR,IR,,IR,Q,Q,Q,,,,
Nick Herbig,Q,,,,,,,,,,,,
Cameron Heyward,,,,,,,,,,,,Q,
Alex Highsmith,,,O,O,,,,,,,O,D,
Cole Holcomb,,,,,,,,,Q,O,O,,
Will Howard,IR,IR,IR,IR,,IR,IR,Q,Q,Q,,,
Broderick Jones,,,,,,,,,,,,,O
Donte Kent,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Miles Killebrew,,,,,,,O,IR,IR,IR,IR,IR,IR
Isaiahh Loudermilk,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Dean Lowry,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Cameron McCutcheon,IR,IR,,,,,,,,,,,
Scott Miller,,,,,,,,O,O,O,,,
Jeremiah Moon,IR,,,,,,,,,,,,
Donald Parham,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Jabrill Peppers,,,,,,,,,O,O,,,
Joey Porter Jr.,,O,O,Q,,,,,,,,,
Jalen Ramsey,,,,,,,,,,,,,
Aaron Rodgers,,,,,,,,,,,,Q,
Max Scharping,,,O,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Isaac Seumalo,,,,,,,,,,O,Q,,
Darius Slay,,,,,,,,,,,O,Q,
Jonnu Smith,,,,Q,,,,,,,,,
Skylar Thompson,Q,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Cory Trice,,,,,,,,,O,Q,Q,,
Gareth Warren,IR,IR,IR,IR,,IR,IR,IR,,,,,
Jaylen Warren,,,,,,,,,,,,,
Darnell Washington,,,,,,,,,,Q,,,
