Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Alex Bachman,,,,,,,Q,,,,,,
Brock Bowers,,Q,,,Q,O,D,,,,,,
Adam Butler,,,,,,,,,,Q,,,Q
AJ Cole III,,,,,,Q,,,,,,,
Darnay Holmes,,,,,,,,,,,,,Q
Brennan Jackson,,,,,IR,IR,IR,,IR,IR,IR,IR,IR
Lonnie Johnson Jr.,,,,,,,,,O,Q,,,
Michael Mayer,,,,O,O,,,,,,,,O
Jordan Meredith,,,,,,,,,,,,,Q
Jakobi Meyers,,,,,,,Q,,,,,,
Kolton Miller,,,,,IR,IR,IR,,IR,IR,IR,IR,IR
Aidan O'Connell,IR,IR,IR,IR,IR,IR,IR,,IR,O,O,,
Isaiah Pola-Mao,,,,,,,,,,Q,,,
Jackson Powers-Johnson,,O,,,,,,,,,IR,IR,IR
Decamerion Richardson,,,Q,Q,,,,,,,,,
Eric Stokes,,,,,Q,,,,,,,,
Zamir White,,,,,,,,,,,,,Q
