Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Davante Adams,,,,Q,,,,,,,Q,,
Tutu Atwell,,,,,,Q,,IR,,IR,IR,IR,IR
Steve Avila,,D,D,,,,,,,,,,
Braden Fiske,,,Q,,,,,,,,,,
Poona Ford,,,,,,,,,,,,,Q
Nick Hampton,,,O,,,,,,,,,,
Rob Havenstein,,,,Q,D,D,O,,,,,IR,IR
Tyler Higbee,,,,Q,D,,,,,,,IR,IR
Kamren Kinchens,,,,,,,,,,,,,Q
Quentin Lake,,,,,,,,,,,,IR,IR
Roger McCreary,,,,,,,,,,,,,IR
Puka Nacua,,,,,,,O,,,,,,
Colby Parkinson,,D,Q,Q,,Q,,,,,,,
David Quessenberry,,,,,,,,,,,,,Q
Xavier Smith,,,,,,,,,,,,Q,
Omar Speights,,,,,,D,,,,,,,
Keir Thomas,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Kobie Turner,,,,,,,,,,,Q,,
Jordan Whittington,,,,,,,,,,Q,,,
Darious Williams,,,,,,,,D,,,,,
Mario Williams,IR,,,,,,,,,,,,
Ahkello Witherspoon,Q,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
