Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Chidobe Awuzie,,,,,O,O,,,,,,,
Rashod Bateman,,,,,,,,,,,O,O,
Taven Bryan,,,,,,,,,,,,,O
Zay Flowers,,,,,,Q,,,,,,,
Mike Green,,,,,,,,,,,Q,,
Kyle Hamilton,,,,,Q,,,,,,,,
Jay Higgins,,,,,,,,,,,O,IR,IR
Justice Hill,,,,,,,,,,,O,,O
Marlon Humphrey,,,,,O,,,,,,O,,
Lamar Jackson,,,,,O,O,,O,,,,,
Emery Jones,,,,,O,O,,,,,,,
Travis Jones,,,,Q,,,,,,,,,
Bilhal Kone,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR
Isaiah Likely,O,O,O,Q,,,,,,,,,
Robert Longerbeam,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR
Nnamdi Madubuike,,,O,O,IR,IR,,IR,IR,IR,IR,IR,IR
Keyon Martin,,,,,,,,,,,,O,
Odafe Oweh,,,,,Q,,,,,,,,
Patrick Ricard,O,O,O,O,O,O,,,,,,,
Tavius Robinson,,,,,,,,IR,IR,IR,IR,IR,IR
Roquan Smith,,,,,O,O,,,,,,,
Ronnie Stanley,,,,Q,Q,,,,,,,,
Kyle Van Noy,,,O,Q,,,,,,,,,
Dayton Wade,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR
Devontez Walker,,,,,Q,O,,,,,,,
Broderick Washington Jr.,,,,O,IR,IR,,IR,IR,IR,IR,IR,IR
