Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Joe Alt,,,,,O,O,D,Q,,IR,IR,,IR
Mekhi Becton,,,,O,Q,,,,Q,,,,
Bradley Bozeman,,,,Q,,,,,,,,,
Jamaree Caldwell,,,,,,,,Q,,,,,
Junior Colson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Derius Davis,,,,O,O,O,Q,,,,,,
Austin Deculus,,,,,,,,Q,,,,,
Will Dissly,,,O,O,Q,,,,Q,,,,
Bud Dupree,,,,,,Q,,,,,,,
Troy Dye,,,,,,,Q,Q,,,,,
Tucker Fisk,,,,,Q,,,,,,,,
Dez Fitzpatrick,IR,,,,,,,,,,,,
Josh Fuga,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Omarion Hampton,,,,,,IR,IR,IR,IR,IR,IR,,O
Da'Shawn Hand,,,,,,O,IR,IR,IR,Q,,,
Josh Harris,,,,,,,,,Q,Q,,,
Najee Harris,,,,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Bobby Hart,,,,,,,,,,O,Q,,
Cam Hart,,,Q,,,,,,,,,,
Hassan Haskins,,,,,,,Q,O,O,IR,IR,,IR
Daiyan Henley,,Q,Q,,,,,,,,,,
Tony Jefferson,,,,,,,,,O,,,,
Quentin Johnston,,,,,,Q,,,,,Q,,
KeAndre Lambert-Smith,,,,,,,,,,Q,,,
Deane Leonard,,,,,,,,,Q,Q,,,
Khalil Mack,,,IR,IR,IR,IR,Q,,,,,,
Scott Matlock,,,,,,Q,,,,,Q,,
Elijah Molden,,O,O,Q,,,D,Q,,,Q,,
Otito Ogbonnia,,,,,,,,IR,IR,IR,IR,,Q
Jordan Oladokun,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Denzel Perryman,,O,,,,Q,Q,,,,,,
Del'Shawn Phillips,,Q,,,,,,,,,,,
Trey Pipkins,,,,,,O,O,Q,,,,,
Eric Rogers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Jamaree Salyer,,,,,,Q,Q,,,,,,
Rashawn Slater,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Benjamin St-Juste,,,,,,,,,,Q,,,
Tarheeb Still,,,,,,,,,O,D,Q,,
