Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
AJ Barner,,,,,,,,,,Q,,,
Jake Bobo,O,,,,,,,,O,O,,,
Anthony Bradford,,,,Q,,,,,,,,,
Zach Charbonnet,,,D,Q,,,,,,,,,
Nick Emmanwori,,O,D,D,,,,,,,,,
AJ Finley,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Derick Hall,,,,,,O,O,,,,,,
Christian Haynes,,,,,,,,,O,O,,,
George Holani,,,,,,,,,,,,,O
Tory Horton,,,,,,,,,,D,O,O,IR
Josh Jobe,,,,,,,,,,O,,,
Ernest Jones,,,,,,,,,,D,,Q,
Josh Jones,,,,O,O,O,Q,,,,,,
Tyrice Knight,,,,,,,,,,,,O,
Cooper Kupp,,,,,,,,,Q,Q,,,
DeMarcus Lawrence,,,,,O,,,,,,,,
Julian Love,,,D,,O,D,Q,,O,IR,IR,IR,IR
Boye Mafe,,,,Q,,,,,,,,,
Kenny McIntosh,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR
Rylie Mills,,,,,,,,,,,,,O
Uchenna Nwosu,O,,,,,,,,,,,,
Ty Okada,,,,,,,,,,,,,Q
Robbie Ouzts,,,,IR,IR,IR,IR,,IR,,,Q,
Jarran Reed,,,,,,,,,Q,O,IR,IR,IR
Eric Saubert,,,,,,,,,O,IR,IR,IR,IR
Jaxon Smith-Njigba,,,Q,,,,,,,,,,
Jalen Sundell,,,,,,,,,,,O,IR,IR
Chazz Surratt,,,,,,,,,,,,,IR
Kenneth Walker III,,,,,,,,,,,,Q,
Devon Witherspoon,,D,,,O,D,Q,,,,,,
Riq Woolen,,,,,,O,,,,,,,
Dareke Young,O,,,,,,,,O,O,IR,IR,IR
Grey Zabel,,,,,,,,,,,,Q,
