Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Ameer Abdullah,IR,,,,,,,,,,,,
Bradlee Anae,IR,,,,,,,,,,,,
Ben Bartch,,,IR,IR,IR,IR,IR,IR,Q,Q,,,
Robert Beal,,,,,O,,,,,,,D,
Tatum Bethune,,,,,,,,,,Q,,O,O
Nick Bosa,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jake Brendel,,,,,,,,O,O,,,,
Tre Brown,IR,,,,,,,,,,,,
Spencer Burford,,,O,IR,IR,IR,IR,O,Q,,,,
Connor Colby,,,Q,Q,,,,,,,,,
Alfred Collins,,,,,,Q,,,,Q,,,
Jacob Cowing,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kalia Davis,,,,,,Q,,,,Q,,,
Andre Dillard,IR,,,,,,,,,,,,
Jordan Elliott,,,,,,,,,Q,,,,
Luke Gifford,,,,,,,,Q,,,,Q,
Kevin Givens,,,,,,O,Q,,,,,,
Renardo Green,,,,,,,Q,,,,,,
Yetur Gross-Matos,,,,,,O,O,O,O,IR,IR,IR,IR
Bryce Huff,,,,,,,,O,O,,,,
Tarron Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan James,D,,,,,,,,,,,,
Jauan Jennings,,Q,Q,Q,O,Q,,,,,,,
Mac Jones,,,,Q,,Q,,,,,,,
Corey Kiner,IR,IR,IR,IR,,,,,,,,,
George Kittle,,IR,IR,IR,IR,IR,IR,,,,,,
Deommodore Lenoir,,,,,,,,Q,,,Q,,
Christian McCaffrey,Q,,,,,,,,,,,,
Malik Mustapha,,,,,,Q,,,,,,,
Sam Okuayinonu,,,,,,,,,Q,,,,O
Ricky Pearsall,,,,Q,O,O,O,O,O,O,,,
Eddy Piñeiro,,,,,,,,,,,,O,O
Isaiah Prince,IR,,,,,,,,,,,,
Brock Purdy,,O,Q,,O,O,O,O,Q,Q,,,
Jakob Robinson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Equanimeous St. Brown,IR,,,,,,,,,,,,
Upton Stout,,,,,,Q,Q,,,,,,
Patrick Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trent Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tre'Vius Tomlinson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marquez Valdes-Scantling,,,,,,,IR,,,,,,
Fred Warner,,,,,,,O,IR,IR,IR,IR,IR,IR
Jordan Watkins,D,,O,O,O,O,,,,,,,
CJ West,,,,O,Q,,,,,,,,
Keion White,,,,,,,,,,Q,,,
Mykel Williams,,,,,,,,,,O,IR,IR,IR
Trent Williams,,Q,,,,,,,,,,,
Dee Winters,,,,,,,,,Q,Q,,,
