Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Marcus Banks,IR,,,,,,,,,,,,
Ben Bredeson,,,,,,,,,,,O,O,Q
Teddy Bridgewater,,,,,,,Q,,,,,,
Lavonte David,,,,,,,Q,,,,,,
Jamel Dean,,,,,O,,,,,,,O,Q
Emeka Egbuka,,,Q,,,,Q,,,,,,
Mike Evans,,,,O,O,O,Q,IR,,IR,IR,IR,IR
Chris Godwin,O,O,O,Q,,O,O,O,,O,O,Q,
Luke Goedeke,,Q,IR,IR,IR,IR,IR,IR,,Q,,,
Luke Haggard,,,,,,,O,O,,Q,,,
Logan Hall,,,,Q,,,,,,,,,
Bucky Irving,,,,,O,O,O,O,,O,O,O,Q
Christian Izien,O,Q,,O,O,Q,,,,,,,
Calijah Kancey,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Ko Kieft,,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Cody Mauch,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Baker Mayfield,,,,Q,,,,,,,,,Q
Zyon McCollum,,,,,,O,,,,,,,
Jalen McMillan,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Benjamin Morrison,O,Q,,,O,O,,,,,,Q,O
Anthony Nelson,,,,,,,,,,,,,Q
Haason Reddick,,,,,,,,O,,O,O,O,Q
JJ Roberts,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Vita Vea,Q,,,,,,,Q,,,,,
David Walker,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Markees Watts,,,,,,,,,,O,O,Q,
D.J. Williams,IR,,,,,,,,,,,,
Josh Williams,,,,,,O,O,,,,,,
Tristan Wirfs,O,O,O,Q,,,,,,,,,
Rashad Wisdom,,,,,IR,IR,IR,IR,,IR,IR,IR,O
