Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Trey Amos,,,,,,,,,,,IR,,IR
Dorance Armstrong Jr.,,,,,,,Q,IR,IR,IR,IR,,IR
John Bates,,,O,O,,,,,Q,,,,
Noah Brown,,,O,O,O,O,IR,IR,IR,IR,IR,,O
Treylon Burks,,,,,,,,,,,O,,
Percy Butler,,,,O,,,,,,,,,
Samuel Cosmi,,,,,O,O,Q,,,,,,
Jacory Croskey-Merritt,,,,Q,,,,,,,,,
Fentrell Cypress,IR,,,,,,,,,,,,
Jayden Daniels,,,O,O,,,,O,,O,O,,O
Austin Ekeler,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Zach Ertz,,,,,,,Q,,,,,,
Viliami Fehoko,IR,,,,,,,,,,,,
Matt Gay,,,,,,,,Q,,,,,
Eddie Goldman,,,,,,Q,,,,Q,,,
Julian Good-Jones,IR,,,,,,,,,,,,
Will Harris,,,,IR,IR,IR,IR,IR,IR,IR,O,,Q
Drake Jackson,,,,,,,IR,IR,IR,IR,O,,O
Tyree Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Javontae Jean-Baptiste,,,,,IR,IR,IR,IR,IR,IR,IR,,IR
Jonathan Jones,,,IR,IR,IR,IR,Q,,,,,,
Ale Kaho,,,,,,,,,,,O,,
Marshon Lattimore,,,,,,,,,,IR,IR,,IR
Jordan Magee,,,,,,,,,,,Q,,
Quan Martin,,,,,,,,,,Q,,,
Luke McCaffrey,,,,,,,,,,IR,IR,,IR
Terry McLaurin,,,,O,O,O,O,,O,O,O,,
Jer'Zhan Newton,,,,,,,,,Q,,,,
Lucas Niang,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Tyler Ott,,,,,,,,,,,,,Q
Tyler Owens,,,,,,,,,,Q,,,
Daron Payne,,,,,,,,Q,,,,,
Chris Rodriguez,,,,,,Q,,,,,,,
Deebo Samuel,,,,,,Q,O,,,,,,
Kevon Seymour,IR,,,,,,,,,,,,
Ben Sinnott,,,,,,,,,,,O,,
Laremy Tunsil,,,,,,,,,Q,,,,
Tress Way,,Q,,,,,,,,,,,
Deatrich Wise Jr.,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Colson Yankoff,,,,,,,,O,O,,,,
