season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,1,ARI,REG,NO,21,29,163,2,0,5,-33,0,0,166,100,11,1.52479932586014,-1.73381104551513,0,27,146,0,0,0,6,1.15853980279507,0,21,29,163,2,0,0,166,100,11,8.77765306004606,0,0,36,2,36,3,10,0,1,6,2,0,0,10,0,0,0,0,0,0,0,0,0,9,54,0,3,30,3,73,2,3,0,1,50,0.666666666666667,0,0,0,1,1,0,0,0,0,0,0,0,42;50,,46,92,0,46,2,2,0,0,1,0,0,0,0,0
2025,1,ATL,REG,TB,27,42,298,1,0,1,-9,0,0,288,189,16,9.6240952073096,-5.93834263937814,0,28,69,1,1,0,6,-5.76649445435032,0,27,42,298,1,0,0,288,189,16,11.5616994838224,0,0,27,1,25,2,3,0,1,8,3,0,0,7,0,0,0,0,1,2,0,0,0,8,55,6,2,29,5,125,2,3,1,0,41,0.666666666666667,0,0,1,1,0,0,0,0,0,1,0,0,41;36,44,,77,44,0,2,2,0,0,1,0,0,0,0,0
2025,1,BAL,REG,BUF,14,19,209,2,0,2,-15,0,0,173,109,8,8.7984205777867,8.72089925565218,0,29,238,3,2,1,10,10.48651434962,0,14,19,209,2,0,0,173,109,8,12.0646038142731,0,0,51,2,22,3,8,1,1,5,3,0,0,4,0,0,0,0,1,1,0,0,0,7,51,5,1,6,6,167,2,2,0,0,52,1,0,0,0,1,1,0,0,0,0,0,0,0,52;49,,,101,0,0,4,5,1,0,0.8,0,0,0,0,0
2025,1,BUF,REG,BAL,33,46,394,2,0,1,-5,0,0,400,148,19,14.2337143852725,8.59431895944807,0,31,108,3,0,0,9,1.98757070466171,0,33,45,394,2,1,0,400,148,19,15.7125355296826,0,0,44,0,8,5,45,2,2,15,4,0,0,1,0,0,0,0,0,0,1,1,0,5,38,6,1,0,7,193,3,3,0,0,43,1,0,1,1,1,0,0,0,0,0,0,0,0,25;43;32,,,100,0,0,2,2,0,0,1,1,1,0,0,32
2025,1,CAR,REG,JAX,18,35,154,1,2,1,-12,0,0,269,60,8,-15.4026895713417,-12.3715827570242,0,25,113,0,1,1,5,0.0199070660746656,0,18,34,154,1,0,0,269,60,8,-11.7402811444139,0,0,42,0,20,1,2,0,0,0,1,1,10,4,0,0,0,0,0,0,0,0,0,4,35,6,2,0,2,43,1,1,0,0,48,1,0,0,0,1,0,0,0,0,0,0,0,0,48,,,48,0,0,1,1,0,0,1,0,0,0,0,0
2025,1,CHI,REG,MIN,21,35,210,1,0,2,-12,0,0,263,77,10,-6.98824780713981,-6.66688496575636,0,26,119,1,0,0,7,2.53118889384496,0,21,34,210,1,0,0,263,77,10,-2.97034722983004,0,0,34,4,22,6,15,0,3,9,5,1,74,5,1,0,0,0,0,0,0,0,0,12,127,5,4,37,4,125,1,2,1,0,42,0.5,0,0,0,1,0,0,0,0,0,0,1,0,42,50,,42,50,0,3,3,0,0,1,0,0,0,0,0
2025,1,CIN,REG,CLE,14,23,113,1,0,3,-18,0,0,169,49,7,-0.331592737228572,-1.9334077835083,0,23,46,1,0,0,3,-5.00294650052092,0,14,23,113,1,0,0,169,49,7,2.85245883604795,0,0,36,8,42,4,16,0,2,12,5,2,9,6,0,0,0,0,0,0,0,0,0,7,33,5,1,23,3,70,1,1,0,0,35,1,0,0,1,0,0,0,0,0,0,0,0,0,35,,,35,0,0,2,2,0,0,1,0,0,0,0,0
2025,1,CLE,REG,CIN,31,45,290,1,2,2,-12,0,0,273,173,13,-1.84212751623007,2.37426303681873,0,24,49,1,0,0,5,-1.79322417586809,0,31,42,290,1,0,0,273,173,13,2.45695412834175,0,0,31,4,22,8,30,0,3,18,7,0,0,5,0,0,0,0,0,0,0,0,0,7,53,4,3,41,4,105,1,2,1,0,45,0.5,0,0,0,1,0,0,0,0,1,0,0,0,45,36,,45,36,0,1,2,1,0,0.5,0,0,0,0,0
2025,1,DAL,REG,PHI,21,34,188,0,0,0,0,0,0,329,75,9,1.6543752712657,0.172881827209935,0,22,119,2,1,1,8,0.756882135407068,0,21,33,188,0,0,0,329,75,9,1.18341434740108,0,0,36,2,32,5,15,0,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,4,42,6,0,0,5,101,2,2,0,0,53,1,0,0,0,1,1,0,0,0,0,0,0,0,41;53,,,94,0,0,2,2,0,0,1,0,0,0,0,0
2025,1,DEN,REG,TEN,25,40,176,1,2,1,-10,1,1,213,94,9,-7.65576674097443,-1.67200251205547,0,30,151,1,0,0,5,-4.49856747762533,0,25,37,176,1,0,0,213,94,9,-0.27317856375353,0,0,30,6,26,7,51,2,6,50,14,0,0,4,0,1,0,0,0,0,2,2,0,6,45,4,4,47,3,82,2,2,0,0,39,1,0,0,2,0,0,0,0,0,0,0,0,0,39;33,,,72,0,0,2,2,0,0,1,0,0,0,0,0
